Assay,Accuracy,Balanced Accuracy,Recall,Precision,Threshold,AUC,TP,FP,TN,FN
1,0.13114754098360656,0.5,0.0,0.0,-50.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-49.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-48.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-47.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-46.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-45.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-44.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-43.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-42.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-41.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-40.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-39.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-38.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-37.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-36.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-35.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-34.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-33.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-32.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-31.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-30.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-29.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-28.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-27.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-26.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-25.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-24.067796610169495,0.39327830188679247,0,0,16,106
1,0.13114754098360656,0.5,0.0,0.0,-23.067796610169495,0.39327830188679247,0,0,16,106
1,0.12295081967213115,0.46875,0.0,0.0,-22.067796610169495,0.39327830188679247,0,1,15,106
1,0.12295081967213115,0.46875,0.0,0.0,-21.067796610169495,0.39327830188679247,0,1,15,106
1,0.12295081967213115,0.46875,0.0,0.0,-20.067796610169495,0.39327830188679247,0,1,15,106
1,0.12295081967213115,0.46875,0.0,0.0,-19.067796610169495,0.39327830188679247,0,1,15,106
1,0.13114754098360656,0.44693396226415094,0.018867924528301886,0.5,-18.067796610169495,0.39327830188679247,2,2,14,104
1,0.13934426229508196,0.4516509433962264,0.02830188679245283,0.6,-17.067796610169495,0.39327830188679247,3,2,14,103
1,0.13934426229508196,0.4516509433962264,0.02830188679245283,0.6,-16.067796610169495,0.39327830188679247,3,2,14,103
1,0.14754098360655737,0.4563679245283019,0.03773584905660377,0.6666666666666666,-15.067796610169495,0.39327830188679247,4,2,14,102
1,0.14754098360655737,0.4563679245283019,0.03773584905660377,0.6666666666666666,-14.067796610169495,0.39327830188679247,4,2,14,102
1,0.1557377049180328,0.46108490566037735,0.04716981132075472,0.7142857142857143,-13.067796610169495,0.39327830188679247,5,2,14,101
1,0.16393442622950818,0.4658018867924528,0.05660377358490566,0.75,-12.067796610169495,0.39327830188679247,6,2,14,100
1,0.16393442622950818,0.4658018867924528,0.05660377358490566,0.75,-11.067796610169495,0.39327830188679247,6,2,14,100
1,0.1557377049180328,0.4345518867924528,0.05660377358490566,0.6666666666666666,-10.067796610169495,0.39327830188679247,6,3,13,100
1,0.1557377049180328,0.4345518867924528,0.05660377358490566,0.6666666666666666,-9.067796610169495,0.39327830188679247,6,3,13,100
1,0.1721311475409836,0.44398584905660377,0.07547169811320754,0.7272727272727273,-8.067796610169495,0.39327830188679247,8,3,13,98
1,0.18032786885245902,0.44870283018867924,0.08490566037735849,0.75,-7.067796610169495,0.39327830188679247,9,3,13,97
1,0.1885245901639344,0.4534198113207547,0.09433962264150944,0.7692307692307693,-6.067796610169495,0.39327830188679247,10,3,13,96
1,0.1885245901639344,0.4268867924528302,0.10377358490566038,0.7333333333333333,-5.067796610169495,0.39327830188679247,11,4,12,95
1,0.19672131147540983,0.43160377358490565,0.11320754716981132,0.75,-4.067796610169495,0.39327830188679247,12,4,12,94
1,0.22131147540983606,0.41922169811320753,0.1509433962264151,0.7619047619047619,-3.067796610169495,0.39327830188679247,16,5,11,90
1,0.29508196721311475,0.4616745283018868,0.2358490566037736,0.8333333333333334,-2.067796610169495,0.39327830188679247,25,5,11,81
1,0.3360655737704918,0.43219339622641506,0.3018867924528302,0.8205128205128205,-1.067796610169495,0.39327830188679247,32,7,9,74
1,0.38524590163934425,0.4604952830188679,0.3584905660377358,0.8444444444444444,-0.0677966101694949,0.39327830188679247,38,7,9,68
1,0.4098360655737705,0.4215801886792453,0.4056603773584906,0.8269230769230769,0.9322033898305051,0.39327830188679247,43,9,7,63
1,0.48360655737704916,0.46403301886792453,0.49056603773584906,0.8524590163934426,1.932203389830505,0.39327830188679247,52,9,7,54
1,0.5655737704918032,0.3785377358490566,0.6320754716981132,0.8271604938271605,2.932203389830505,0.39327830188679247,67,14,2,39
1,0.6721311475409836,0.43985849056603776,0.7547169811320755,0.851063829787234,3.932203389830505,0.39327830188679247,80,14,2,26
1,0.7540983606557377,0.48702830188679247,0.8490566037735849,0.8653846153846154,4.932203389830505,0.39327830188679247,90,14,2,16
1,0.819672131147541,0.5247641509433962,0.9245283018867925,0.875,5.932203389830505,0.39327830188679247,98,14,2,8
1,0.8442622950819673,0.5123820754716981,0.9622641509433962,0.8717948717948718,6.932203389830505,0.39327830188679247,102,15,1,4
1,0.8524590163934426,0.5170990566037736,0.9716981132075472,0.8728813559322034,7.932203389830505,0.39327830188679247,103,15,1,3
1,0.860655737704918,0.5218160377358491,0.9811320754716981,0.8739495798319328,8.932203389830505,0.39327830188679247,104,15,1,2
1,0.8770491803278688,0.53125,1.0,0.8760330578512396,9.932203389830505,0.39327830188679247,106,15,1,0
1,0.8688524590163934,0.5,1.0,0.8688524590163934,10.932203389830505,0.39327830188679247,106,16,0,0
1,0.8688524590163934,0.5,1.0,0.8688524590163934,11.932203389830505,0.39327830188679247,106,16,0,0
1,0.8688524590163934,0.5,1.0,0.8688524590163934,12.932203389830505,0.39327830188679247,106,16,0,0
1,0.8688524590163934,0.5,1.0,0.8688524590163934,13.932203389830505,0.39327830188679247,106,16,0,0
1,0.8688524590163934,0.5,1.0,0.8688524590163934,14.932203389830505,0.39327830188679247,106,16,0,0
1,0.8688524590163934,0.5,1.0,0.8688524590163934,15.932203389830505,0.39298349056603776,106,16,0,0
