,N_actives_train,N_inactives_train,N_labels_train,N_actives_val,N_inactives_val,N_labels_val,N_actives_test,N_inactives_test,N_labels_test,Test_AUC,Best_C
0,1692,144,1836,318,72,390,486,150,636,0.278120713305898,0.1
1,592,1172,1764,114,192,306,138,468,606,0.649170073083117,0.1
2,132,1609,1741,96,372,468,86,490,576,0.517109634551495,1E-05
3,328,858,1186,120,120,240,144,318,462,0.373602375960867,100000
4,682,402,1084,72,72,144,144,144,288,0.509837962962963,1
5,544,1036,1580,90,275,365,90,348,438,0.405938697318008,1E-06
6,234,532,766,72,96,168,72,144,216,0.65625,0.01
7,232,474,706,96,180,276,48,252,300,0.646412037037037,1E-05
8,474,1474,1948,132,359,491,72,562,634,0.687994266508501,100000
9,360,972,1332,48,438,486,96,486,582,0.725222908093278,1E-06
10,378,2915,3293,42,587,629,132,774,906,0.670415394252604,1E-05
11,1727,1667,3394,179,456,635,324,678,1002,0.316713099530209,10000
12,168,1038,1206,42,234,276,66,288,354,0.483322811447811,10000
13,150,473,623,24,113,137,138,108,246,0.755099302200752,1E-06
14,192,1068,1260,48,120,168,168,312,480,0.471449557387057,1000000
15,254,659,913,66,144,210,96,274,370,0.706622566909976,1E-05
16,144,1423,1567,48,288,336,114,364,478,0.330513784461153,0.1
17,537,1334,1871,114,252,366,180,408,588,0.545874183006536,1
18,652,192,844,144,48,192,186,72,258,0.541890681003584,100000
19,678,1846,2524,72,339,411,168,426,594,0.600449921752739,0.01
20,328,858,1186,120,120,240,144,318,462,0.373602375960867,100000
21,306,752,1058,48,138,186,48,78,126,0.251869658119658,100000
22,606,1230,1836,114,276,390,168,468,636,0.512464387464387,1E-06
23,756,1260,2016,186,324,510,162,456,618,0.518856941737059,0.1
24,228,1536,1764,72,234,306,96,510,606,0.730392156862745,1E-05
25,358,1222,1580,42,323,365,72,366,438,0.503605039465695,1000000
26,708,2686,3394,114,521,635,144,858,1002,0.383676508676509,1E-06
27,360,2164,2524,24,387,411,72,522,594,0.658338654746701,1000000
28,156,1608,1764,72,234,306,72,534,606,0.754941739492301,0.1
29,262,1318,1580,24,341,365,72,366,438,0.397882513661202,0.1
30,7104,16615,23719,1086,2282,3368,1872,4194,6066,0.624516250320971,1
31,5613,17112,22725,726,2682,3408,1860,4362,6222,0.6759187361031,1000
32,11877,10050,21927,1632,1214,2846,2778,2640,5418,0.534051230447019,1E-06
33,7935,15744,23679,752,2418,3170,2088,4716,6804,0.664796657015004,10000
34,7296,14894,22190,1014,2004,3018,1950,3792,5742,0.605712701503841,10000
35,2557,306,2863,198,120,318,564,108,672,0.391072366692934,0.1
36,1801,1158,2959,186,150,336,516,156,672,0.574388789505069,0.1
37,912,228,1140,96,24,120,352,120,472,0.598768939393939,1E-06
38,246,270,516,0,24,24,24,66,90,0.990530303030303,1E-06
39,516,178,694,168,66,234,84,106,190,0.439240790655885,1000
40,216,4152,4368,48,576,624,192,1410,1602,0.790503102836879,1
41,264,4062,4326,48,576,624,402,1206,1608,0.872870308490714,0.1
42,4008,9288,13296,750,1080,1830,1362,2040,3402,0.793844836025453,0.1
43,3630,8412,12042,702,1080,1782,1122,2370,3492,0.841610445482374,0.1
44,240,468,708,24,39,63,96,194,290,0.432237972508591,1
45,408,192,600,48,51,99,192,84,276,0.435050843253968,1000
46,282,898,1180,114,84,198,204,468,672,0.620841712753478,1E-06
47,516,120,636,24,72,96,120,48,168,0.534895833333333,100
48,828,480,1308,144,24,168,288,144,432,0.697627314814815,0.1
49,360,858,1218,24,144,168,72,366,438,0.390406800242866,1E-06
50,474,1062,1536,24,120,144,90,258,348,0.491386735572782,1E-06
51,476,3710,4186,144,570,714,138,822,960,0.981963397863112,0.001
52,474,4864,5338,144,666,810,144,1164,1308,0.972717401680031,0.01
53,654,4924,5578,144,666,810,192,1068,1260,0.918227215980025,0.01
54,606,4900,5506,144,666,810,144,1050,1194,0.955205026455026,0.01
55,462,4942,5404,144,618,762,144,1080,1224,0.951208847736626,0.01
56,564,4612,5176,144,666,810,144,1044,1188,0.946932205193699,0.001
57,794,4472,5266,144,570,714,144,966,1110,0.976765585461238,0.001
58,426,4012,4438,144,618,762,96,864,960,0.990258487654321,0.01
59,662,4790,5452,144,666,810,144,1098,1242,0.948163327261688,0.001
60,614,4742,5356,144,666,810,234,978,1212,0.944383269536644,0.01
61,530,4568,5098,144,666,810,144,1044,1188,0.943313644103874,1E-05
62,770,4586,5356,144,666,810,234,1026,1260,0.819354892454308,0.01
63,564,4378,4942,144,570,714,96,1050,1146,0.962638888888889,1E-06
64,654,4756,5410,144,618,762,144,1098,1242,0.957175925925926,0.01
65,620,4952,5572,144,666,810,192,1098,1290,0.907568685488767,1E-05
66,432,4930,5362,144,618,762,144,1164,1308,0.967509068346697,0.01
67,380,4172,4552,144,618,762,96,840,936,0.978348214285714,1E-05
68,696,4948,5644,144,666,810,192,1092,1284,0.908186431623932,0.001
69,552,4900,5452,144,666,810,192,1068,1260,0.908561563670412,0.001
70,426,5050,5476,144,618,762,192,1092,1284,0.927269345238095,0.01
71,330,1398,1728,96,96,192,192,540,732,0.90816936728395,1E-06
72,240,4078,4318,144,618,762,96,822,918,0.991750304136253,1
73,770,4256,5026,144,666,810,144,1014,1158,0.889614836730221,0.001
74,426,4864,5290,48,762,810,48,1176,1224,0.893388605442177,0.1
75,614,4934,5548,144,666,810,192,1068,1260,0.907040028089888,0.001
76,698,4520,5218,144,666,810,192,936,1128,0.936837829415954,0.001
77,530,4880,5410,144,666,810,192,1116,1308,0.915373917264038,100
78,566,4916,5482,144,642,786,144,1074,1218,0.960641682184978,0.001
79,282,1374,1656,96,96,192,144,540,684,0.960943930041152,0.1
80,516,4822,5338,144,618,762,144,1068,1212,0.976422700790678,0.01
81,662,4742,5404,144,618,762,144,1074,1218,0.972551986343886,0.001
82,468,4726,5194,96,714,810,96,1146,1242,0.938608929610239,0.0001
83,648,4588,5236,144,666,810,234,984,1218,0.945825515947467,0.001
84,488,3332,3820,144,558,702,48,768,816,0.943033854166667,0.001
85,474,4954,5428,144,642,786,144,1098,1242,0.979432301153613,0.01
86,516,5014,5530,144,666,810,192,1116,1308,0.927624701314217,0.01
