,N_actives_train,N_inactives_train,N_labels_train,N_actives_val,N_inactives_val,N_labels_val,N_actives_test,N_inactives_test,N_labels_test,Test_AUC,Best_C
120,216,426,642,48,120,168,48,42,90,0.62797619047619,0.1
121,408,234,642,48,120,168,90,0,90,0.5,100
122,162,264,426,24,24,48,48,48,96,0.679253472222222,0.1
123,456,708,1164,24,42,66,96,360,456,0.622366898148148,1
124,258,480,738,72,48,120,144,264,408,0.755497685185185,1E-06
125,306,432,738,24,96,120,144,264,408,0.679371843434344,1E-06
126,978,786,1764,96,72,168,330,48,378,0.824558080808081,100
127,156,186,342,0,36,36,156,48,204,0.694845085470085,100
128,234,678,912,48,86,134,24,288,312,0.502893518518518,1E-06
129,240,672,912,48,86,134,24,288,312,0.904079861111111,0.1
130,210,552,762,96,84,180,72,264,336,0.700231481481482,100
131,312,288,600,72,168,240,210,24,234,0.283333333333333,1000000
132,360,240,600,120,120,240,138,96,234,0.476600241545894,1E-06
133,240,786,1026,144,48,192,96,282,378,0.999889184397163,0.1
134,288,408,696,144,0,144,96,96,192,0.981119791666667,0.1
135,288,762,1050,48,144,192,192,180,372,0.572048611111111,1E-06
136,522,528,1050,144,96,240,192,228,420,0.530975877192982,1E-06
137,384,594,978,96,48,144,192,186,378,0.691924283154122,0.1
138,474,576,1050,144,96,240,234,186,420,0.505858836503998,1E-06
139,474,576,1050,96,144,240,192,228,420,0.540296052631579,1E-06
140,426,528,954,96,144,240,192,228,420,0.526064510233918,1E-05
141,696,840,1536,192,48,240,288,240,528,0.677922453703704,0.1
142,522,432,954,144,96,240,240,180,420,0.466226851851852,1E-05
143,378,576,954,96,144,240,192,228,420,0.534950657894737,1E-06
144,240,786,1026,144,48,192,96,282,378,0.999889184397163,0.1
145,288,738,1026,144,48,192,96,282,378,0.999889184397163,0.01
146,10440,3821,14261,1429,444,1873,3053,1254,4307,0.65235125750236,1000
147,432,1854,2286,144,186,330,168,618,786,0.493248189243335,1000000
148,348,528,876,96,192,288,48,384,432,0.440700954861111,0.001
149,1272,2094,3366,144,594,738,642,438,1080,0.519032987666965,1E-06
150,144,1404,1548,0,168,168,90,324,414,0.491838134430727,1E-06
151,1266,1308,2574,144,144,288,474,324,798,0.511518726884409,0.1
152,714,522,1236,24,48,72,372,48,420,0.709117383512545,100000
153,4812,1150,5962,666,216,882,1326,558,1884,0.684752698984198,0.01
154,25584,9313,34897,4230,1272,5502,7008,2436,9444,0.616843886133417,0.01
155,2484,1794,4278,330,192,522,684,474,1158,0.601330594418536,100000
156,10604,5740,16344,1455,828,2283,3179,1704,4883,0.580560219870128,1000
157,1488,9424,10912,216,1023,1239,432,2466,2898,0.598076432068727,0.1
158,5604,1854,7458,696,186,882,1830,486,2316,0.827090782342756,0.1
159,960,672,1632,186,90,276,420,216,636,0.848941798941799,0.1
160,16730,34529,51259,2292,4746,7038,4692,8898,13590,0.681697727220903,0.01
161,1308,33505,34813,234,4546,4780,395,9365,9760,0.698259476775227,0.01
162,3456,30277,33733,522,3756,4278,936,8294,9230,0.715187479776339,1000
163,192,4061,4253,48,570,618,90,1462,1552,0.505836753305974,1
164,3420,11107,14527,414,1782,2196,1122,3450,4572,0.616265467979023,0.1
165,1344,1386,2730,96,348,444,465,342,807,0.537709866063007,100
166,1338,2112,3450,234,762,996,510,1020,1530,0.551668589004229,1000
167,1972,29815,31787,168,4680,4848,684,8858,9542,0.715117599447554,0.01
168,2616,708,3324,408,144,552,765,144,909,0.6739651416122,1
169,828,680,1508,240,192,432,372,42,414,0.659114183307732,1E-05
170,15825,31157,46982,2184,4180,6364,4804,9045,13849,0.78943341853044,0.1
171,3047,4146,7193,450,606,1056,984,1284,2268,0.845828426158093,1
172,1062,882,1944,192,192,384,654,96,750,0.42230504587156,0.1
173,1512,1980,3492,192,186,378,708,480,1188,0.54337040960452,0.1
174,425,342,767,36,48,84,24,168,192,0.928819444444444,1
175,8386,4362,12748,1665,480,2145,3008,1188,4196,0.791506599684791,1
176,354,6163,6517,12,636,648,96,1878,1974,0.580171725239617,1
177,7165,1932,9097,806,192,998,1764,552,2316,0.475870058168195,1000
178,792,6582,7374,114,780,894,231,1896,2127,0.574931046450034,1E-05
179,9432,1626,11058,1272,96,1368,2750,564,3314,0.749960025789813,1
180,822,780,1602,234,48,282,72,48,120,0.353587962962963,100
181,5208,10608,15816,1170,1084,2254,1328,3667,4995,0.787701939473191,10000
182,3280,3530,6810,378,594,972,846,1104,1950,0.880672474046665,0.1
183,3735,10620,14355,540,1830,2370,1326,3024,4350,0.686944614027947,0.001
184,1122,312,1434,306,72,378,483,72,555,0.66810443984357,1
185,4010,2184,6194,798,306,1104,1284,558,1842,0.809897665226275,1
186,378,29246,29624,90,4695,4785,144,8052,8196,0.46770039879671,100
187,570,264,834,48,48,96,144,192,336,0.449978298611111,100
188,618,3546,4164,48,426,474,210,954,1164,0.734256763502046,1
189,696,696,1392,96,96,192,192,192,384,0.660291883680556,1000000
190,40678,276,40954,6467,0,6467,12411,120,12531,0.766043563505492,1000000
191,34563,402,34965,4859,24,4883,9747,180,9927,0.709716379968765,0.1
192,4176,2957,7133,678,336,1014,1380,720,2100,0.582650966183575,1
193,456,3227,3683,54,564,618,96,1266,1362,0.463944839389152,0.1
194,570,192,762,0,48,48,264,120,384,0.547569444444444,0.1
195,1614,570,2184,138,96,234,624,234,858,0.590859905763752,100000
196,384,1272,1656,120,186,306,240,456,696,0.568037280701754,100000
197,378,16712,17090,144,2538,2682,186,5379,5565,0.647359204552951,1000000
198,4596,1458,6054,570,330,900,1176,528,1704,0.850146876932591,1
