,N_actives_train,N_inactives_train,N_labels_train,N_actives_val,N_inactives_val,N_labels_val,N_actives_test,N_inactives_test,N_labels_test,Test_AUC,Best_C
0,1914,156,2070,258,72,330,324,138,462,0.566358024691358,1E-06
1,604,1340,1944,72,228,300,168,264,432,0.703373015873016,0.1
2,96,1649,1745,14,432,446,204,390,594,0.556548516842634,1000
3,256,834,1090,120,168,288,216,294,510,0.425721214411691,1E-06
4,442,360,802,144,132,276,312,126,438,0.664758852258852,0.01
5,514,994,1508,96,233,329,114,432,546,0.463125406107862,1E-06
6,258,532,790,48,120,168,72,120,192,0.832175925925926,0.01
7,232,690,922,72,72,144,72,144,216,0.187596450617284,0.1
8,462,1550,2012,96,257,353,120,588,708,0.731420068027211,100
9,312,1212,1524,120,330,450,72,354,426,0.438833961079724,1E-06
10,336,2949,3285,72,451,523,144,876,1020,0.714881405377981,0.01
11,1576,1607,3183,200,366,566,454,828,1282,0.420502670837856,1000
12,156,1014,1170,72,96,168,48,450,498,0.729398148148148,0.1
13,216,545,761,24,65,89,72,84,156,0.641699735449735,1E-06
14,288,1008,1296,48,156,204,72,336,408,0.293940145502645,0.0001
15,248,753,1001,48,96,144,120,228,348,0.73578216374269,0.01
16,168,1307,1475,42,294,336,96,474,570,0.557775140646976,100
17,515,1322,1837,72,240,312,244,432,676,0.399998102610808,1000
18,466,192,658,156,24,180,360,96,456,0.625028935185185,100
19,582,1591,2173,192,456,648,144,564,708,0.422515267927502,1000000
20,256,834,1090,120,168,288,216,294,510,0.425721214411691,1E-06
21,234,638,872,72,72,144,96,258,354,0.514252260981912,1E-06
22,720,1350,2070,96,234,330,72,390,462,0.48792735042735,0.0001
23,864,1308,2172,192,192,384,48,540,588,0.508757716049383,0.001
24,276,1668,1944,24,276,300,96,336,432,0.571800595238095,1
25,376,1132,1508,24,305,329,72,474,546,0.755420768870136,0.01
26,636,2547,3183,144,422,566,186,1096,1282,0.308060591790283,1000000
27,288,1885,2173,72,576,648,96,612,708,0.587537445533769,1000
28,180,1764,1944,24,276,300,96,336,432,0.457217261904762,1E-06
29,286,1222,1508,24,305,329,48,498,546,0.805681057563588,0.01
30,6810,16717,23527,1344,2208,3552,1908,4166,6074,0.645266009857175,10000
31,5811,17118,22929,888,2400,3288,1500,4638,6138,0.774941066551675,1000
32,12027,10026,22053,1812,1104,2916,2448,2774,5222,0.589668861416232,1000
33,7881,16290,24171,1140,2322,3462,1754,4266,6020,0.744720258991437,100000
34,7278,14708,21986,1050,2118,3168,1932,3864,5796,0.652813007685746,0.001
35,2557,414,2971,288,96,384,474,24,498,0.61629746835443,100
36,1903,1158,3061,288,96,384,312,210,522,0.647359584859585,10000
37,952,264,1216,24,72,96,384,36,420,0.722005208333333,1000
38,162,222,384,24,72,96,84,66,150,0.588383838383838,1E-06
39,552,230,782,96,18,114,120,102,222,0.334395424836601,1
40,360,4554,4914,48,462,510,48,1122,1170,0.903780451574569,1
41,450,4380,4830,48,510,558,216,954,1170,0.843796102181846,1
42,3714,8754,12468,762,1266,2028,1644,2388,4032,0.777930100624778,100000
43,3288,8664,11952,762,894,1656,1404,2304,3708,0.769465403905508,1
44,144,433,577,72,60,132,144,208,352,0.387086004273504,1E-06
45,384,207,591,144,48,192,120,72,192,0.564930555555555,1E-06
46,510,1062,1572,24,138,162,66,250,316,0.712666666666667,1E-06
47,360,216,576,66,24,90,234,0,234,0.5,100
48,828,456,1284,162,48,210,270,144,414,0.722582304526749,0.1
49,360,930,1290,48,96,144,48,342,390,0.814449317738791,0.1
50,432,1080,1512,42,192,234,114,168,282,0.567355889724311,1000000
51,392,3560,3952,144,714,858,222,828,1050,0.988347042694869,0.1
52,474,4648,5122,144,852,996,144,1194,1338,0.970116787641913,0.01
53,522,4768,5290,240,756,996,228,1134,1362,0.966347195148365,1
