Feature Set,Fold,Task,AUC,Optimal Threshold,Optimal Kappa,Kappa,Kappa @ 0.50,Balanced Accuracy,AUCPR,Sensitivity,Specificity,MCC,TP,TN,FP,FN,Total Actives Train,Total Inactives Train,Total Compounds Train,Total Actives Test,Total Inactives Test,Total Compounds Test,Scrambled Kappa,Scrambled Balanced Accuracy
CellCount,1,CHEMBL1741321,0.6043395628761482,0.5151515151515152,0.21656136577496976,0.13975074307764523,0.07947590334134291,0.5848907190370605,0.3474464017216169,0.5844155844155844,0.5853658536585366,0.15174662153637775,45,120,85,32,155,409,564,77,205,282,0.0,0.5
CellCount,2,CHEMBL1741321,0.610072853975293,0.5252525252525253,0.17722310392920693,0.24297780396778623,0.09462656302805006,0.6175483053531834,0.36744755874478946,0.4155844155844156,0.8195121951219512,0.2436432108126389,32,168,37,45,155,409,564,77,205,282,0.0,0.5
CellCount,3,CHEMBL1741321,0.62100930115636,0.5151515151515152,0.174248854184349,0.22347129960824397,0.12155997056659307,0.6236802413273002,0.3418217402114646,0.5512820512820513,0.696078431372549,0.2288818852419353,43,142,62,35,154,410,564,78,204,282,0.0,0.5
CellProfiler,1,CHEMBL1741321,0.6390243902439025,0.32323232323232326,0.3012736255269003,0.1859592402286242,0.11479820627802695,0.6020272410516312,0.4074170893608623,0.5064935064935064,0.697560975609756,0.1896131518596869,39,143,62,38,155,409,564,77,205,282,-0.020906869399945682,0.4926829268292683
CellProfiler,2,CHEMBL1741321,0.6153943617358251,0.42424242424242425,0.22056670083467556,0.21182082432734584,0.1824732875010353,0.5900221729490023,0.45590624573155264,0.2727272727272727,0.9073170731707317,0.22991330360327913,21,186,19,56,155,409,564,77,205,282,0.01877117480084234,0.5064935064935064
CellProfiler,3,CHEMBL1741321,0.6798014077425842,0.36363636363636365,0.21109240045629862,0.24021985127707735,0.20130718954248372,0.6400829562594268,0.4787870515476506,0.6282051282051282,0.6519607843137255,0.253471741552974,49,133,71,29,154,410,564,78,204,282,-0.010394519253484447,0.49585218702865763
CellCount,1,CHEMBL1741322,0.5141393694025274,0.494949494949495,0.08035346003744004,0.02275227051318318,0.006740252914077316,0.5111029321555638,0.5972436850907561,0.6713286713286714,0.3508771929824561,0.0233133153974875,96,40,74,47,286,227,513,143,114,257,0.0,0.5
CellCount,2,CHEMBL1741322,0.595264384738069,0.5555555555555556,0.05078344271270052,0.05652929973225851,0.12713774758798946,0.5314071893019261,0.647354068129802,0.0979020979020979,0.9649122807017544,0.12227686885500423,14,110,4,129,286,227,513,143,114,257,-0.1290499725425589,0.43513065881486934
CellCount,3,CHEMBL1741322,0.5062503867813603,0.5151515151515152,0.05963066720027432,0.04286387187941587,0.008919722497522264,0.5225261464199518,0.6024323584164695,0.36363636363636365,0.6814159292035398,0.04710078679933551,52,77,36,91,286,228,514,143,113,256,0.0,0.5
CellProfiler,1,CHEMBL1741322,0.6184517237148814,0.5555555555555556,0.15152323534119416,0.17492273995619434,0.17712704777891763,0.5894062078272604,0.6643596282989725,0.5384615384615384,0.6403508771929824,0.17826648894944794,77,73,41,66,286,227,513,143,114,257,-0.020716169415054164,0.4900012268433321
CellProfiler,2,CHEMBL1741322,0.6480186480186481,0.5656565656565657,0.19865916276149687,0.20714649414442754,0.29606775178667,0.606060606060606,0.6571432449239671,0.5454545454545454,0.6666666666666666,0.2117707592138403,78,76,38,65,286,227,513,143,114,257,0.054624173963996214,0.5257330388909336
CellProfiler,3,CHEMBL1741322,0.6059162076861192,0.5555555555555556,0.2041475263072926,0.07789621646948575,0.14450151618293217,0.541153536728758,0.6535791093486781,0.35664335664335667,0.7256637168141593,0.08759167879207942,51,82,31,92,286,228,514,143,113,256,-0.08857250850447262,0.4564948326010273
CellCount,1,CHEMBL1741323,0.6006767308693388,0.5050505050505051,0.08193161934684601,0.18229193540065003,0.2153551444270806,0.591957313899011,0.4615304432279861,0.5309734513274337,0.6529411764705882,0.18246709182428433,60,111,59,53,227,339,566,113,170,283,0.2318286920679602,0.6200416449765747
CellCount,2,CHEMBL1741323,0.5439614783966684,0.494949494949495,0.12611905918095456,0.08168128580844702,0.06547649760074292,0.5419312857886518,0.42240267916107066,0.5132743362831859,0.5705882352941176,0.08237101474706882,58,97,73,55,227,339,566,113,170,283,-0.061412635807099436,0.46697032795419047
CellCount,3,CHEMBL1741323,0.5553046818229005,0.494949494949495,0.05876566342663081,0.05763674648645989,0.06457068183565229,0.5305460396553514,0.44872316878991503,0.5877192982456141,0.47337278106508873,0.060244378055176705,67,80,89,47,226,340,566,114,169,283,0.0,0.5
CellProfiler,1,CHEMBL1741323,0.8096304008328996,0.42424242424242425,0.47778514157992535,0.5567274056283611,0.5431308184900178,0.7775377407600208,0.7598189475498678,0.7256637168141593,0.8294117647058824,0.5567881887468721,82,141,29,31,227,339,566,113,170,283,0.14120979162451952,0.563586673607496
CellProfiler,2,CHEMBL1741323,0.7632483081728267,0.42424242424242425,0.541311025423175,0.47310869280188805,0.4721719151236654,0.7347995835502343,0.6809794289783189,0.6637168141592921,0.8058823529411765,0.4734347134004402,75,137,33,38,227,339,566,113,170,283,-0.11328478018180865,0.4445340968245705
CellProfiler,3,CHEMBL1741323,0.7909270216962525,0.4747474747474748,0.5219785335230824,0.5393783471595085,0.5121595459728963,0.7666095712654417,0.7331850534894788,0.6929824561403509,0.8402366863905325,0.5403335625044733,79,142,27,35,226,340,566,114,169,283,0.07244041997666806,0.5338420014533375
CellCount,1,CHEMBL1741324,0.5466941085670183,0.48484848484848486,0.009709236617692407,0.05852231163130961,0.019058329140895558,0.5373038332904554,0.38050485168685244,0.8260869565217391,0.2485207100591716,0.08573510962697736,76,42,127,16,185,336,521,92,169,261,-0.04862312677791136,0.47334062258811427
CellCount,2,CHEMBL1741324,0.553731438812084,0.5858585858585859,0.01807271875222838,0.018201674554058966,0.07229351165732878,0.5072004608294931,0.40478913221774226,0.03225806451612903,0.9821428571428571,0.046019371974308075,3,165,3,90,184,337,521,93,168,261,0.06081324217344375,0.5324500768049155
CellCount,3,CHEMBL1741324,0.5135869565217391,0.5151515151515152,0.0807513654228984,-0.008437670114316731,0.02082057562767914,0.4959886128364389,0.3679120574415031,0.2717391304347826,0.7202380952380952,-0.008572903946429155,25,121,47,67,185,337,522,92,168,260,-0.029141808168884786,0.48356625258799174
CellProfiler,1,CHEMBL1741324,0.635001286339079,0.43434343434343436,0.2389979582220827,0.15021337126600276,0.08524799093709079,0.5764085412914844,0.43193732220025044,0.4782608695652174,0.6745562130177515,0.15046450674517714,44,114,55,48,185,336,521,92,169,261,-0.05500216543958425,0.47549524054540776
CellProfiler,2,CHEMBL1741324,0.6694828469022017,0.3434343434343435,0.2491449712839413,0.2483962022068258,0.14131897711978458,0.6394009216589862,0.5396806116971662,0.7311827956989247,0.5476190476190477,0.26848348658204946,68,92,76,25,184,337,521,93,168,261,-0.026456918126564366,0.4893433179723502
CellProfiler,3,CHEMBL1741324,0.634381469979296,0.393939393939394,0.2740544023131197,0.24801156905278388,0.06362545018007204,0.6331521739130435,0.4411603935332161,0.6413043478260869,0.625,0.25515692110260885,59,105,63,33,185,337,522,92,168,260,0.026178836145718476,0.51074016563147
CellCount,1,CHEMBL1741325,0.5985371672526368,0.494949494949495,0.12284529783984299,0.11301186483668235,0.1319525932879605,0.5629394776494223,0.4220029485684091,0.5568181818181818,0.569060773480663,0.11830081069333849,49,103,78,39,174,362,536,88,181,269,0.0,0.5
CellCount,2,CHEMBL1741325,0.6082428399060139,0.494949494949495,0.040094440343352966,0.13591269841269837,0.16853799787259183,0.5783006286911793,0.3897113880500618,0.6206896551724138,0.5359116022099447,0.1467178449090828,54,97,84,33,175,362,537,87,181,268,0.16853799787259183,0.5905569314790119
CellCount,3,CHEMBL1741325,0.5571537435702039,0.5050505050505051,0.14081315501389458,0.07962557743739362,0.03659614591313576,0.541595224487204,0.40422586212937445,0.4367816091954023,0.6464088397790055,0.08022657502481503,38,117,64,49,175,362,537,87,181,268,0.0,0.5
CellProfiler,1,CHEMBL1741325,0.7997237569060773,0.48484848484848486,0.4190556209040497,0.5039515279241307,0.5082920668682908,0.7402059266700151,0.6560829041978504,0.5909090909090909,0.8895027624309392,0.5090904808786243,52,161,20,36,174,362,536,88,181,269,0.023029302517540096,0.508758161727775
CellProfiler,2,CHEMBL1741325,0.7904997777354417,0.4141414141414142,0.4723622987161684,0.4832572787454207,0.4765990095556951,0.7387438877246459,0.7020968808819685,0.632183908045977,0.8453038674033149,0.4835442916290049,55,153,28,32,175,362,537,87,181,268,-0.02212051868802445,0.49171270718232046
CellProfiler,3,CHEMBL1741325,0.7612243601955927,0.42424242424242425,0.5390114166058262,0.4178751676994825,0.4565882196516421,0.7076903537181686,0.6216610540315112,0.5977011494252874,0.8176795580110497,0.41793642903781525,52,148,33,35,175,362,537,87,181,268,-0.034579055441478435,0.48663237442052454
CellCount,1,CHEMBL1909087,0.5,0.0,0.0,0.0,0.0,0.5,0.5327868852459017,1.0,0.0,0.0,8,0,114,0,15,228,243,8,114,122,0.0,0.5
