Feature Set,Fold,Task,AUC,Optimal Threshold,Optimal Kappa,Kappa,Kappa @ 0.50,Balanced Accuracy,AUCPR,Sensitivity,Specificity,MCC,TP,TN,FP,FN,Total Actives Train,Total Inactives Train,Total Compounds Train,Total Actives Test,Total Inactives Test,Total Compounds Test,Scrambled Kappa,Scrambled Balanced Accuracy
CellCount,3,CHEMBL1909141,0.30158730158730157,0.5050505050505051,0.04717275851296476,-0.10056632915737085,-0.10546561949030275,0.3546626984126984,0.04946639900505914,0.1111111111111111,0.5982142857142857,-0.15711867455143463,1,67,45,8,18,226,244,9,112,121,-0.10873549175320729,0.3234126984126984
CellProfiler,1,CHEMBL1909141,0.5943952802359882,0.21212121212121213,0.367736339982654,0.20326530612244897,0.0,0.6224188790560472,0.11508873279881385,0.3333333333333333,0.911504424778761,0.20742158353653595,3,103,10,6,18,225,243,9,113,122,0.0,0.5
CellProfiler,2,CHEMBL1909141,0.6774827925270402,0.14141414141414144,0.30983733539891545,-0.09207161125319696,0.0,0.4469026548672566,0.10639331222389767,0.0,0.8938053097345132,-0.09321296302696903,0,101,12,9,18,225,243,9,113,122,0.0,0.5
CellProfiler,3,CHEMBL1909141,0.6636904761904762,0.15151515151515152,0.24794520547945198,0.08124525436598329,0.0,0.5530753968253967,0.12607732463124807,0.2222222222222222,0.8839285714285714,0.08451911666694303,2,99,13,7,18,226,244,9,112,121,0.0,0.5
CellCount,1,CHEMBL1909156,0.3426535087719298,0.20202020202020204,0.0010141804154516487,0.0,-0.08859145952836212,0.5,0.04606725797722606,1.0,0.0,0.0,8,0,114,0,14,229,243,8,114,122,0.06459107806691455,0.6524122807017544
CellCount,2,CHEMBL1909156,0.3770186335403727,0.5151515151515152,0.02605210420841686,-0.055925432756325,-0.04086791657889188,0.47391304347826085,0.042137428275927286,0.0,0.9478260869565217,-0.056110834845923,0,109,6,7,15,228,243,7,115,122,0.0,0.5
CellCount,3,CHEMBL1909156,0.5676691729323309,0.48484848484848486,0.010883454505397627,0.0,0.009356725146198785,0.5,0.063122670550446,1.0,0.0,0.0,7,0,114,0,15,229,244,7,114,121,0.009356725146198785,0.5225563909774436
CellProfiler,1,CHEMBL1909156,0.756578947368421,0.13131313131313133,0.1897685052872249,0.25341972642188626,0.0,0.6929824561403508,0.34563336072765516,0.5,0.8859649122807017,0.27588375857971625,4,101,13,4,14,229,243,8,114,122,0.0,0.5
CellProfiler,2,CHEMBL1909156,0.5391304347826087,0.2828282828282829,0.25959780621572215,0.12482065997130565,0.0,0.5540372670807453,0.0937268033127188,0.14285714285714285,0.9652173913043478,0.1267778491265125,1,111,4,6,15,228,243,7,115,122,0.0,0.5
CellProfiler,3,CHEMBL1909156,0.800751879699248,0.19191919191919193,0.13700670141474314,0.2686366689053056,0.0,0.62531328320802,0.21103731440128498,0.2857142857142857,0.9649122807017544,0.2695280719514513,2,110,4,5,15,229,244,7,114,121,0.0,0.5
CellCount,1,CHEMBL1909211,0.346875,0.36363636363636365,0.006134969325153339,0.0,-0.07515796474891911,0.5,0.05815721402970017,1.0,0.0,0.0,10,0,112,0,18,225,243,10,112,122,-0.07515796474891911,0.3991071428571429
CellCount,2,CHEMBL1909211,0.5,0.0,0.0,0.0,0.0,0.5,0.5368852459016393,1.0,0.0,0.0,9,0,113,0,19,224,243,9,113,122,0.0,0.5
CellCount,3,CHEMBL1909211,0.5,0.5050505050505051,0.029280712921705976,0.0,0.0,0.5,0.5371900826446281,0.0,1.0,0.0,0,112,0,9,19,225,244,9,112,121,0.0,0.5
CellProfiler,1,CHEMBL1909211,0.8053571428571428,0.16161616161616163,0.20694259012016025,0.18538884524744703,-0.015128593040847349,0.6053571428571428,0.19980077149351227,0.3,0.9107142857142857,0.18733462983290225,3,102,10,7,18,225,243,10,112,122,0.0,0.5
CellProfiler,2,CHEMBL1909211,0.7266470009832842,0.19191919191919193,0.15781413718062376,0.2192543127434614,0.0,0.6937069813176008,0.2043317431637242,0.5555555555555556,0.831858407079646,0.25475169756888805,5,94,19,4,19,224,243,9,113,122,0.0,0.5
CellProfiler,3,CHEMBL1909211,0.6259920634920635,0.20202020202020204,0.18321803168935502,0.18727775582773598,0.18791946308724838,0.6175595238095238,0.2833659439637138,0.3333333333333333,0.9017857142857143,0.19286888655338713,3,101,11,6,19,225,244,9,112,121,0.0,0.5
CellCount,1,CHEMBL5291731,0.41964285714285715,0.42424242424242425,0.019108280254777066,0.03899721448467974,-0.007968127490039834,0.53125,0.2582567409248081,1.0,0.0625,0.14101901870444156,7,1,15,0,14,30,44,7,16,23,-0.007968127490039834,0.4955357142857143
CellCount,2,CHEMBL5291731,0.5,0.0,0.0,0.0,0.0,0.5,0.6590909090909091,1.0,0.0,0.0,7,0,15,0,14,31,45,7,15,22,0.0,0.5
CellCount,3,CHEMBL5291731,0.36190476190476195,0.0,0.0,0.0,-0.2727272727272727,0.5,0.2410983624218918,1.0,0.0,0.0,7,0,15,0,14,31,45,7,15,22,-0.2727272727272727,0.34285714285714286
CellProfiler,1,CHEMBL5291731,0.6071428571428572,0.38383838383838387,0.28260869565217395,0.11538461538461542,0.18274111675126903,0.5669642857142857,0.3662284610814023,0.5714285714285714,0.5625,0.12336594280495668,4,9,7,3,14,30,44,7,16,23,-0.050761421319796884,0.4776785714285714
CellProfiler,2,CHEMBL5291731,0.6285714285714286,0.25252525252525254,0.03494837172359,0.13725490196078438,0.2584269662921349,0.6,0.5084198073168662,1.0,0.2,0.27144835701531844,7,3,12,0,14,31,45,7,15,22,0.18518518518518512,0.5714285714285714
CellProfiler,3,CHEMBL5291731,0.5,0.36363636363636365,0.18181818181818188,-0.06451612903225801,0.09411764705882342,0.4714285714285714,0.39983427182675296,0.14285714285714285,0.8,-0.06900655593423542,1,12,3,6,14,31,45,7,15,22,0.0,0.5
CellCount,1,CHEMBL5291732,0.5,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,0.0,0.0,12,0,24,0,24,47,71,12,24,36,0.0,0.5
CellCount,2,CHEMBL5291732,0.5,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,1.0,0.0,0.0,12,0,24,0,24,47,71,12,24,36,0.0,0.5
CellCount,3,CHEMBL5291732,0.4601449275362318,0.5454545454545455,0.22000000000000008,-0.014492753623188248,-0.05723370429252772,0.49275362318840576,0.31061635836811674,0.3333333333333333,0.6521739130434783,-0.014492753623188406,4,15,8,8,24,48,72,12,23,35,-0.05723370429252772,0.46739130434782605
CellProfiler,1,CHEMBL5291732,0.71875,0.4040404040404041,0.19808861859252824,0.37735849056603776,0.4255319148936171,0.7083333333333333,0.6640116691587281,0.75,0.6666666666666666,0.39344473768231686,9,16,8,3,24,47,71,12,24,36,-0.05405405405405417,0.4791666666666667
CellProfiler,2,CHEMBL5291732,0.6388888888888888,0.22222222222222224,0.07675229939739947,0.059701492537313494,0.0,0.5416666666666666,0.42635844774325166,0.9166666666666666,0.16666666666666666,0.11359236684941297,11,4,20,1,24,47,71,12,24,36,0.0,0.5
CellProfiler,3,CHEMBL5291732,0.5471014492753623,0.4141414141414142,0.32258064516129037,-0.014492753623188248,0.13580246913580252,0.49275362318840576,0.36495242799836053,0.3333333333333333,0.6521739130434783,-0.014492753623188406,4,15,8,8,24,48,72,12,23,35,-0.15226337448559657,0.43297101449275366
CellCount,1,CHEMBL5291781,0.5,0.0,0.0,0.0,0.0,0.5,0.6607142857142857,1.0,0.0,0.0,9,0,19,0,20,36,56,9,19,28,0.0,0.5
CellCount,2,CHEMBL5291781,0.38888888888888884,0.5454545454545455,0.276595744680851,0.10256410256410253,-0.1914893617021276,0.5444444444444444,0.30776370368761674,0.2,0.8888888888888888,0.12171612389003691,2,16,2,8,19,37,56,10,18,28,0.17647058823529416,0.6
CellCount,3,CHEMBL5291781,0.5,0.0,0.0,0.0,0.0,0.5,0.6785714285714286,1.0,0.0,0.0,10,0,18,0,19,37,56,10,18,28,0.0,0.5
CellProfiler,1,CHEMBL5291781,0.5467836257309941,0.4040404040404041,0.2692307692307693,0.15740740740740733,-0.04347826086956519,0.5994152046783625,0.3187637519232171,0.7777777777777778,0.42105263157894735,0.19379591094941798,7,8,11,2,20,36,56,9,19,28,-0.19148936170212738,0.42105263157894735
CellProfiler,2,CHEMBL5291781,0.5055555555555555,0.5252525252525253,0.25625,-0.19736842105263142,-0.07692307692307687,0.4166666666666667,0.33281522881778636,0.0,0.8333333333333334,-0.25819888974716115,0,15,3,10,19,37,56,10,18,28,-0.19736842105263142,0.4166666666666667
CellProfiler,3,CHEMBL5291781,0.42777777777777776,0.2828282828282829,0.08596300326441775,-0.09803921568627438,-0.013157894736842035,0.4444444444444444,0.29485788181322575,0.5,0.3888888888888889,-0.10758287072798381,5,7,11,5,19,37,56,10,18,28,-0.2564102564102564,0.3888888888888889
CellCount,1,CHEMBL5291782,0.65625,0.5050505050505051,0.3112582781456953,0.44171779141104295,0.37349397590361455,0.725,0.5226400281005543,0.7,0.75,0.44312936752559784,7,12,4,3,20,32,52,10,16,26,-0.36046511627906974,0.30625
CellCount,2,CHEMBL5291782,0.5,0.0,0.0,0.0,0.0,0.5,0.6923076923076923,1.0,0.0,0.0,10,0,16,0,20,32,52,10,16,26,0.0,0.5
