Assay,ResNet,DenseNet,GapNet,M-CNN,MIL-Net,SC-CNN,FNN,
CHEMBL1964092,0.993,0.996,0.991,0.991,0.984,0.995,0.961,
CHEMBL1964099,1.000,1.000,0.983,0.979,0.990,0.989,0.976,
CHEMBL1963844,1.000,1.000,0.989,0.995,0.994,0.996,0.973,
CHEMBL1963854,1.000,0.978,0.978,0.983,0.967,0.994,0.944,
CHEMBL1963860,1.000,1.000,0.991,0.994,0.982,0.987,0.976,
CHEMBL1963866,0.966,0.932,0.867,0.878,0.899,0.931,0.958,
CHEMBL1963868,0.993,0.986,0.982,0.986,0.967,0.979,0.946,
CHEMBL1963874,1.000,0.976,0.992,0.988,0.966,0.981,0.963,
CHEMBL1963876,1.000,0.984,0.991,0.995,0.983,0.988,0.990,
CHEMBL1963880,0.982,0.933,0.961,0.991,0.968,0.969,0.975,
CHEMBL1963882,0.943,0.912,0.959,0.964,0.964,0.926,0.965,
CHEMBL1963885,1.000,0.995,0.960,0.978,0.965,0.986,0.991,
CHEMBL1963887,1.000,1.000,0.997,0.979,0.963,1.000,0.917,
CHEMBL1963889,1.000,1.000,0.989,0.977,0.974,1.000,0.966,
CHEMBL1963895,0.974,0.949,0.987,0.997,0.983,0.965,0.980,
CHEMBL1963900,0.983,0.916,0.500,0.500,0.500,0.966,0.970,
CHEMBL1963901,1.000,0.986,0.971,0.986,0.966,0.993,0.947,
CHEMBL1963903,1.000,1.000,0.977,0.989,0.972,0.987,0.973,
CHEMBL1963911,0.980,0.966,0.948,0.987,0.982,0.980,0.933,
CHEMBL1963921,0.988,1.000,0.982,0.987,0.979,1.000,0.979,
CHEMBL1963922,1.000,0.998,0.963,0.982,0.967,0.989,0.974,
CHEMBL1963929,0.979,0.946,0.971,0.982,0.983,0.980,0.998,
CHEMBL1963945,1.000,0.976,1.000,1.000,0.995,0.982,0.972,
CHEMBL1963953,1.000,0.989,0.963,0.982,0.966,0.988,0.967,
CHEMBL1963960,0.991,0.957,0.993,0.998,0.985,0.968,0.979,
CHEMBL1963961,0.967,0.927,0.968,0.968,0.959,0.968,0.973,
CHEMBL1963963,1.000,1.000,0.993,0.986,0.966,1.000,0.917,
CHEMBL1964004,0.999,0.995,0.992,0.995,0.981,0.986,0.993,
CHEMBL1964006,0.994,0.971,0.967,0.986,0.965,0.978,0.988,
CHEMBL1964007,0.999,0.999,0.944,0.970,0.962,0.989,0.993,
CHEMBL1964009,0.998,0.992,0.977,0.998,0.982,0.985,0.974,
CHEMBL1964012,0.999,0.988,0.983,0.990,0.983,0.990,0.969,
CHEMBL1738183,1.000,1.000,0.624,0.778,0.865,0.889,0.500,
CHEMBL1738239,0.461,0.465,0.496,0.875,0.760,0.454,0.678,
CHEMBL1738578,1.000,1.000,0.500,0.500,0.500,1.000,0.938,
CHEMBL1738682,0.688,0.644,0.894,0.730,0.762,0.849,0.636,
CHEMBL1738131,0.733,0.872,0.605,0.420,0.772,0.714,0.882,
CHEMBL1614170,0.710,0.703,0.544,0.864,0.981,0.913,0.959,
CHEMBL1614276,0.847,0.767,0.786,0.430,0.480,0.915,0.500,
CHEMBL1738497,0.982,0.952,0.900,0.600,0.848,0.810,1.000,
CHEMBL1738639,0.852,0.883,0.698,0.699,0.686,0.963,0.876,
CHEMBL1738369,0.681,0.708,1.000,1.000,1.000,0.766,0.829,
CHEMBL1738552,1.000,1.000,1.000,0.981,0.852,0.997,0.896,
CHEMBL1738598,0.500,0.500,0.721,0.743,0.681,0.520,1.000,
CHEMBL1794336,1.000,1.000,0.500,0.500,0.800,1.000,0.818,
CHEMBL1794366,0.964,0.935,0.530,0.925,0.840,0.850,0.962,
CHEMBL1794523,0.891,1.000,0.987,0.879,0.876,0.859,0.880,
CHEMBL1963888,0.800,0.931,0.731,0.711,0.909,1.000,0.906,
CHEMBL2114896,1.000,0.825,0.500,0.500,0.500,0.917,0.500,
CHEMBL2114926,1.000,1.000,1.000,1.000,1.000,1.000,0.651,
CHEMBL3562120,0.960,0.985,1.000,1.000,1.000,0.958,1.000,
CHEMBL3562121,0.500,0.500,0.963,0.964,0.965,0.500,1.000,
CHEMBL3562123,0.731,0.668,0.562,0.755,0.889,0.870,0.770,
CHEMBL3562124,0.770,0.724,0.931,0.920,0.978,0.699,0.739,
CHEMBL3562026,0.981,0.971,0.925,0.985,1.000,0.971,0.926,
CHEMBL3562027,0.861,0.919,0.977,0.949,0.967,0.919,0.745,
CHEMBL3561996,0.750,0.706,0.535,0.464,0.639,0.710,0.768,
CHEMBL3562038,0.685,0.655,0.692,0.565,0.639,0.864,0.746,
CHEMBL3562043,0.711,0.821,0.894,0.887,0.917,0.764,0.786,
CHEMBL3562021,0.797,0.714,0.927,0.889,1.000,0.728,0.756,
CHEMBL3562069,0.725,0.710,0.744,0.746,0.766,0.650,0.760,
CHEMBL3561991,0.959,0.985,1.000,1.000,1.000,0.956,1.000,
CHEMBL3562139,0.993,0.988,1.000,1.000,1.000,0.968,1.000,
CHEMBL1737991,0.602,0.668,0.746,0.676,0.631,0.629,0.588,
CHEMBL1737868,0.750,0.757,0.877,0.903,0.780,0.685,0.654,
CHEMBL1737980,0.804,0.530,0.500,0.500,0.500,0.533,0.825,
CHEMBL1738606,0.842,0.797,0.627,0.677,0.758,0.816,0.681,
CHEMBL1738132,0.812,0.772,0.500,0.564,0.638,0.824,0.675,
CHEMBL1738402,0.482,0.580,0.913,0.864,0.900,0.600,0.648,
CHEMBL1613775,0.794,0.726,0.822,0.791,0.811,0.915,0.973,
CHEMBL1738317,0.880,0.902,0.887,0.777,0.722,0.678,0.574,
CHEMBL1738442,0.623,0.714,0.699,0.668,0.660,0.697,0.608,
CHEMBL1738610,0.692,0.803,0.811,0.746,0.775,0.734,0.803,
CHEMBL1738312,0.607,0.708,0.711,0.712,0.618,0.648,0.605,
CHEMBL1613800,0.683,0.739,0.823,0.661,0.607,0.681,0.571,
CHEMBL1794311,0.908,0.892,0.803,0.786,0.796,0.916,0.652,
CHEMBL1794367,0.981,0.987,0.997,0.950,0.972,0.878,0.804,
CHEMBL1794345,0.717,0.776,0.761,0.686,0.670,0.706,0.575,
CHEMBL1794401,0.642,0.697,0.705,0.706,0.685,0.638,0.741,
CHEMBL1794483,0.629,0.720,0.581,0.640,0.647,0.757,0.582,
CHEMBL1794461,0.664,0.357,0.505,0.422,0.472,0.613,0.621,
CHEMBL1794424,0.734,0.784,0.770,0.746,0.728,0.758,0.695,
CHEMBL1794486,0.827,0.731,0.684,0.718,0.706,0.713,0.793,
CHEMBL1794499,0.818,0.828,0.711,0.778,0.821,0.820,0.744,
CHEMBL1794553,0.848,0.832,0.789,0.757,0.711,0.784,0.727,
CHEMBL1794536,0.852,0.732,0.871,0.850,0.880,0.728,0.863,
CHEMBL1794512,0.687,0.666,0.978,0.934,0.948,0.492,0.836,
CHEMBL1794580,0.761,0.829,0.846,0.699,0.651,0.755,0.551,
CHEMBL1794584,0.898,0.913,0.901,0.824,0.838,0.882,0.868,
CHEMBL1794467,0.736,0.686,0.633,0.587,0.558,0.657,0.687,
CHEMBL1964081,0.799,0.757,0.728,0.730,0.740,0.762,0.578,
CHEMBL1964002,0.929,0.947,0.933,0.912,0.922,0.925,0.933,
CHEMBL2114843,0.842,0.866,0.851,0.801,0.780,0.831,0.798,
CHEMBL2114861,0.750,0.467,0.988,0.986,1.000,0.614,0.866,
CHEMBL2114713,0.557,0.517,0.582,0.628,0.652,0.536,0.597,
CHEMBL2114738,0.635,0.560,0.704,0.655,0.654,0.468,0.632,
CHEMBL2114775,0.832,0.869,0.859,0.764,0.743,0.804,0.664,
CHEMBL2114744,0.751,0.641,0.722,0.753,0.369,0.576,0.932,
CHEMBL2114780,0.904,0.900,0.934,0.892,0.903,0.884,0.798,
CHEMBL2114784,0.933,0.949,0.976,0.953,0.943,0.921,0.828,
CHEMBL2114788,0.699,0.765,0.750,0.640,0.649,0.629,0.632,
CHEMBL2114796,0.872,0.852,1.000,1.000,1.000,0.965,0.618,
CHEMBL2114807,0.904,0.951,0.895,0.800,0.792,0.792,0.835,
CHEMBL2114810,0.687,0.767,0.935,0.905,0.919,0.689,0.726,
CHEMBL2114797,1.000,1.000,0.691,0.682,0.766,0.591,0.804,
CHEMBL2114836,0.869,0.877,0.823,0.799,0.854,0.792,0.755,
CHEMBL2114842,0.961,0.782,0.880,0.844,0.959,0.809,0.826,
CHEMBL2354221,0.953,0.838,0.790,0.846,0.872,0.882,0.600,
CHEMBL2354254,0.690,0.838,0.916,0.954,0.912,0.483,0.522,
CHEMBL2354287,0.649,0.714,0.558,0.534,0.505,0.572,0.620,
CHEMBL2354282,0.857,0.724,0.886,0.775,0.793,0.792,0.737,
CHEMBL3214953,0.798,0.871,0.876,0.676,0.656,0.769,0.916,
CHEMBL3215017,0.760,0.735,0.919,0.889,0.863,0.755,0.844,
CHEMBL3215046,0.722,0.591,0.965,0.963,0.988,0.597,0.684,
CHEMBL3215181,0.758,0.887,0.830,0.854,0.803,0.767,0.505,
CHEMBL3215169,0.927,0.970,0.922,0.852,0.809,0.853,0.689,
CHEMBL3215154,0.736,0.850,0.665,0.591,0.754,0.782,0.715,
CHEMBL3215278,0.746,0.718,0.644,0.668,0.597,0.687,0.599,
CHEMBL3215270,0.882,0.945,0.948,0.898,0.914,0.894,0.854,
CHEMBL1614211,0.673,0.743,0.643,0.608,0.615,0.732,0.583,
CHEMBL2114817,0.761,0.803,0.775,0.738,0.679,0.704,0.524,
CHEMBL3214913,0.856,0.905,0.868,0.827,0.787,0.840,0.685,
CHEMBL3214967,0.849,0.933,0.993,0.868,0.850,0.876,0.942,
CHEMBL3214906,1.000,1.000,0.504,0.579,0.495,1.000,0.413,
CHEMBL3214970,0.851,0.820,0.848,0.782,0.739,0.740,0.739,
CHEMBL3562077,0.852,0.912,0.851,0.793,0.743,0.833,0.755,
