,Task,AUC
0,1,0.4693877551020408
1,10,0.5
2,100,0.9311594202898551
3,101,0.9230769230769231
4,102,0.9166666666666667
5,103,0.9230769230769231
6,104,0.9230769230769231
7,105,0.975
8,106,0.9444444444444444
9,107,0.9375
10,108,0.9423076923076923
11,109,0.9257142857142857
12,11,0.40234375
13,110,0.8909090909090909
14,111,0.9666666666666667
15,112,0.9288888888888889
16,113,0.9666666666666667
17,114,0.9305555555555556
18,115,0.9375
19,116,0.8
20,117,0.31818181818181823
21,118,0.625
22,119,0.6
23,12,0.4395604395604396
24,120,0.8
25,121,0.20833333333333331
26,122,0.6404761904761905
27,123,0.625
28,124,0.49999999999999994
29,125,0.13541666666666666
30,126,0.29166666666666663
31,127,0.25
32,128,0.25
33,129,0.3888888888888889
34,13,0.3076923076923077
35,130,0.34285714285714286
36,131,0.3939393939393939
37,132,0.7142857142857143
38,133,0.625
39,134,0.888888888888889
40,135,0.7083333333333333
41,136,0.5
42,137,0.5
43,138,0.888888888888889
44,139,0.8
45,14,0.6
46,140,0.5
47,141,0.5
48,142,0.7407407407407407
49,143,0.5555555555555556
50,144,0.5333333333333333
51,145,0.888888888888889
52,146,0.888888888888889
53,147,0.5419871794871794
54,148,0.6
55,149,0.6875
56,15,0.5277777777777778
57,150,0.5903361344537814
58,151,0.5833333333333333
59,152,0.5666666666666667
60,153,0.7
61,154,0.4545454545454546
62,155,0.5236800861984523
63,156,0.811965811965812
64,157,0.5030890369473047
65,158,0.5521541950113379
66,159,0.5810457516339869
67,16,0.16666666666666666
68,160,0.6666666666666667
69,161,0.5647405562474055
70,162,0.49248964088397784
71,163,0.5032168706996694
72,164,0.5592592592592593
73,165,0.6045918367346939
74,166,0.5208333333333334
75,167,0.7479338842975206
76,168,0.7342133913990201
77,169,0.6630434782608696
78,17,0.425
79,170,0.7714285714285715
80,171,0.5507705627705628
81,172,0.7291149710504549
82,173,0.5357142857142857
83,174,0.65625
84,175,0.2916666666666667
85,176,0.6503598740440846
86,177,0.5361842105263158
87,178,0.4780645161290323
88,179,0.3884615384615384
89,18,0.4609375
90,180,0.6026190476190476
91,181,0.5
92,182,0.7232791421653406
93,183,0.7829131652661063
94,184,0.5062252964426878
95,185,0.42105263157894735
96,186,0.31038461538461537
97,187,0.4802052785923754
98,188,0.5
99,189,0.62
100,19,0.6190476190476191
101,190,0.7333333333333333
102,191,0.5990990990990992
103,192,0.6315028901734103
104,193,0.516072676450035
105,194,0.3294573643410852
106,195,0.6222222222222222
107,196,0.7226890756302522
108,197,0.16666666666666663
109,198,0.5377777777777777
110,199,0.6387096774193548
111,2,0.29591836734693877
112,20,0.4772727272727273
113,200,0.33333333333333337
114,201,0.44859038142620233
115,202,0.7474916387959866
116,203,0.3636363636363637
117,204,0.367965367965368
118,205,0.6221174004192872
119,206,0.36363636363636365
120,207,0.75
121,208,0.6008403361344538
122,209,0.5856774078689693
123,21,0.3076923076923077
124,22,0.4
125,23,0.6722689075630253
126,24,0.6029411764705883
127,25,0.34920634920634924
128,26,0.3125
129,27,0.538888888888889
130,28,0.40384615384615385
131,29,0.25
132,3,0.3940515350877193
133,30,0.3125
134,31,0.5693479938271606
135,32,0.4400956937799043
136,33,0.4576822916666667
137,34,0.49275704613446697
138,35,0.4869268662372111
139,36,0.5692307692307692
140,37,0.6018518518518519
141,38,0.6875
142,39,1.0
143,4,0.3076923076923077
144,40,0.75
145,41,0.7391304347826086
146,42,0.675
147,43,0.6639928698752229
148,44,0.6561355311355311
149,45,0.6190476190476191
150,46,0.6428571428571428
151,47,0.6373626373626373
152,48,0.6
153,49,0.6666666666666666
154,5,0.5666666666666667
155,50,0.5769230769230769
156,51,0.6363636363636364
157,52,0.9230769230769231
158,53,0.9655172413793104
159,54,0.9645390070921986
160,55,0.9822695035460993
161,56,0.9744680851063829
162,57,0.9733333333333333
163,58,0.9242424242424242
164,59,0.9583333333333334
165,6,0.40217391304347827
166,60,0.9333333333333333
167,61,0.9047619047619048
168,62,0.9444444444444444
169,63,0.9119318181818182
170,64,0.9720930232558139
171,65,0.9733333333333333
172,66,0.9230769230769231
173,67,0.962962962962963
174,68,0.926829268292683
175,69,0.9440993788819876
176,7,0.3333333333333333
177,70,0.9440993788819876
178,71,0.9666666666666667
179,72,0.8909090909090909
180,73,0.9565217391304348
181,74,0.8717948717948718
182,75,0.962962962962963
183,76,0.9249999999999999
184,77,0.9079365079365079
185,78,0.9230769230769231
186,79,0.9466666666666667
187,8,0.625
188,80,0.888888888888889
189,81,0.9444444444444444
190,82,0.9333333333333333
191,83,0.9733333333333334
192,84,0.9591836734693877
193,85,0.8935185185185185
194,86,0.9333333333333333
195,87,0.9326241134751774
196,88,0.9242424242424242
197,89,0.7777777777777778
198,9,0.43478260869565216
199,90,0.9230769230769231
200,91,0.9375
201,92,0.9666666666666667
202,93,0.962962962962963
203,94,0.8833333333333333
204,95,0.9583333333333334
205,96,0.8909090909090909
206,97,0.9722222222222222
207,98,0.9358974358974359
208,99,0.9244565217391305
