CHEMBL_ID,Cel_counter_model
CHEMBL1040691,0.648375054896794
CHEMBL1614544,0.5989166036785084
CHEMBL1613914,0.33976608187134505
CHEMBL1613836,0.47488275613275616
CHEMBL1613838,0.6341510341510341
CHEMBL1613842,0.41087888146711676
CHEMBL1614361,0.5833333333333334
CHEMBL1614364,0.5661375661375662
CHEMBL1614421,0.7029100529100529
CHEMBL1614441,0.5300503095975232
CHEMBL1614458,0.7317004504504504
CHEMBL1614459,0.4676556941940069
CHEMBL1614174,0.5625
CHEMBL1614234,0.6190476190476191
CHEMBL1614236,0.5350378787878788
CHEMBL1614250,0.5748677248677249
CHEMBL1614257,0.4665214233841685
CHEMBL1614530,0.5759055759055759
CHEMBL1614342,0.40370370370370373
CHEMBL1614087,0.7013299377475949
CHEMBL1614146,0.4198502886002886
CHEMBL1614079,0.4404761904761905
CHEMBL1040691,0.47056673546611627
CHEMBL1040692,0.5469846491228071
CHEMBL1614544,0.5765319094838546
CHEMBL1613842,0.43973285486443386
CHEMBL1614459,0.5406299987695337
CHEMBL1614087,0.764576802507837
CHEMBL1614544,0.4751716247139588
CHEMBL1613842,0.5125433905619664
CHEMBL1741321,0.5265781172941991
CHEMBL1741325,0.5611608511005622
CHEMBL1741322,0.5833119937588697
CHEMBL1741323,0.5692363079351289
CHEMBL1741324,0.5203302144635858
CHEMBL1794324,0.6115600448933782
CHEMBL1794349,0.4643589743589744
CHEMBL1963972,0.27
CHEMBL3214992,0.2111111111111111
CHEMBL3215227,0.5022727272727273
CHEMBL3561973,0.4656084656084656
CHEMBL3562135,0.4118844118844119
CHEMBL3562136,0.47452313472215746
CHEMBL3562146,0.6129538054978042
CHEMBL1737865,0.48214285714285715
CHEMBL1738513,0.7571428571428571
CHEMBL1738500,0.6787545787545787
CHEMBL1613884,0.10000000000000002
CHEMBL1613820,0.34425747863247863
CHEMBL1613794,0.46349206349206346
CHEMBL1963988,0.2780092592592593
CHEMBL1963976,0.5708612040133779
CHEMBL1963981,0.5630227001194743
CHEMBL1963985,0.41401234567901235
CHEMBL1963989,0.4368650793650794
CHEMBL1963990,0.4401662759048158
CHEMBL1963991,0.4868435880099166
CHEMBL1963994,0.3911443494776828
CHEMBL1964017,0.6411494252873563
CHEMBL1964018,0.473341049382716
CHEMBL1964021,0.505507477921271
CHEMBL1964025,0.5241561758803138
CHEMBL1964030,0.5232512315270936
CHEMBL1964034,0.7649529569892474
CHEMBL1964037,0.5653163513694822
CHEMBL1964040,0.4447965206585896
CHEMBL1964043,0.6224747474747475
CHEMBL1964045,0.29396135265700485
CHEMBL1964047,0.49601851851851847
CHEMBL1964048,0.527124183006536
CHEMBL1964059,0.4736815156169995
CHEMBL1964062,0.6882716049382717
CHEMBL1964063,0.4672619047619047
CHEMBL1964065,0.3675044091710758
CHEMBL1964066,0.4659124850657108
CHEMBL1964072,0.46881720430107526
CHEMBL1964075,0.47439360929557006
CHEMBL1964077,0.4515015015015014
CHEMBL1964085,0.3761485826001955
CHEMBL1964086,0.5831908831908832
CHEMBL1964087,0.42675438596491233
CHEMBL1964088,0.4857195826050109
CHEMBL1964091,0.6639784946236559
CHEMBL1964092,0.6091741166453809
CHEMBL1964099,0.44155844155844154
CHEMBL1963844,0.5007467144563919
CHEMBL1963854,0.41802319792911186
CHEMBL1963860,0.546969696969697
CHEMBL1963866,0.5373015873015873
CHEMBL1963868,0.4267901234567902
CHEMBL1963874,0.34939305267447646
CHEMBL1963876,0.5141482739105829
CHEMBL1963880,0.37229729729729727
CHEMBL1963882,0.478505291005291
CHEMBL1963885,0.47018678160919536
CHEMBL1963887,0.7908896658896659
CHEMBL1963889,0.7605820105820106
CHEMBL1963895,0.517021227289581
CHEMBL1963900,0.3719841269841269
CHEMBL1963901,0.4573252688172043
CHEMBL1963903,0.34365544849415813
CHEMBL1963911,0.42499162057985584
CHEMBL1963921,0.4200746848797823
CHEMBL1963922,0.3337990473495567
CHEMBL1963929,0.3998915299000189
CHEMBL1963945,0.5020833333333333
CHEMBL1963953,0.4253608447156834
CHEMBL1963960,0.5165952242565145
CHEMBL1963961,0.4950274083607417
CHEMBL1963963,0.7794612794612794
CHEMBL1964004,0.6060108473901576
CHEMBL1964006,0.32627029306346195
CHEMBL1964007,0.6214781746031747
CHEMBL1964009,0.4666295884315907
CHEMBL1964012,0.39402942840973393
CHEMBL1738183,0.6666666666666667
CHEMBL1738239,0.5888888888888889
CHEMBL1738578,0.30952380952380953
CHEMBL1738682,0.27791005291005294
CHEMBL1738131,0.6041666666666667
CHEMBL1614170,0.688888888888889
CHEMBL1614276,0.3703703703703704
CHEMBL1738497,0.4166666666666667
CHEMBL1738639,0.44154040404040407
CHEMBL1738369,0.4444444444444444
CHEMBL1738552,0.6222222222222222
CHEMBL1738598,0.539150641025641
CHEMBL1794336,0.5
CHEMBL1794366,0.5126984126984127
CHEMBL1794523,0.09583333333333333
CHEMBL1963888,0.6023809523809524
CHEMBL2114896,0.7361111111111112
CHEMBL2114926,0.3433333333333333
CHEMBL3562120,0.5333333333333333
CHEMBL3562121,0.5
CHEMBL3562123,0.36111111111111116
CHEMBL3562124,0.7166666666666667
CHEMBL3562026,0.4444444444444444
CHEMBL3562027,0.47222222222222215
CHEMBL3561996,0.6148148148148148
CHEMBL3562038,0.3796296296296296
CHEMBL3562043,0.5383597883597884
CHEMBL3562021,0.4861111111111111
CHEMBL3562069,0.28703703703703703
CHEMBL3561991,0.5333333333333333
CHEMBL3562139,0.39999999999999997
CHEMBL1737991,0.469230180315086
