CHEMBL_ID,Cel_counter_model
CHEMBL1040691,0.5826526130873958
CHEMBL1614441,0.5861971104231166
CHEMBL1963901,0.5838613671274961
CHEMBL1963903,0.3964599916212819
CHEMBL1963911,0.5642324451147981
CHEMBL1963921,0.4785385085235159
CHEMBL1963922,0.47801711941143177
CHEMBL1963929,0.4635540464063384
CHEMBL1963945,0.4458333333333333
CHEMBL1963953,0.6054925893635571
CHEMBL1963960,0.5921334641092706
CHEMBL1963961,0.4157919824586491
CHEMBL1614458,0.5963963963963964
CHEMBL1963963,0.6240179573512906
CHEMBL1964004,0.654296661193213
CHEMBL1964006,0.5044627169864362
CHEMBL1964007,0.6795815295815295
CHEMBL1964009,0.6053021876158695
CHEMBL1964012,0.5485285795132994
CHEMBL1738183,0.6785714285714286
CHEMBL1738239,0.611965811965812
CHEMBL1738578,0.6428571428571429
CHEMBL1738682,0.33002645502645506
CHEMBL1614459,0.5382763091741419
CHEMBL1738131,0.3958333333333333
CHEMBL1614170,0.5111111111111111
CHEMBL1614276,0.3703703703703704
CHEMBL1738497,0.625
CHEMBL1738639,0.2833964646464646
CHEMBL1738369,0.4732804232804233
CHEMBL1738552,0.5277777777777778
CHEMBL1738598,0.3325160256410256
CHEMBL1794336,0.6666666666666667
CHEMBL1794366,0.5497354497354497
CHEMBL1614174,0.90625
CHEMBL1794523,0.5277777777777778
CHEMBL1963888,0.6916666666666668
CHEMBL2114896,0.4583333333333333
CHEMBL2114926,0.14666666666666664
CHEMBL3562120,0.39999999999999997
CHEMBL3562121,0.75
CHEMBL3562123,0.5
CHEMBL3562124,0.7000000000000001
CHEMBL3562026,0.5777777777777778
CHEMBL3562027,0.5555555555555555
CHEMBL1614234,0.5714285714285715
CHEMBL3561996,0.45925925925925926
CHEMBL3562038,0.5
CHEMBL3562043,0.5277777777777778
CHEMBL3562021,0.7638888888888888
CHEMBL3562069,0.28703703703703703
CHEMBL3561991,0.39999999999999997
CHEMBL3562139,0.45555555555555555
CHEMBL1737991,0.4687740828464098
CHEMBL1737868,0.3765151515151515
CHEMBL1737980,0.13333333333333333
CHEMBL1614236,0.4365530303030303
CHEMBL1738606,0.41869825708061
CHEMBL1738132,0.338235294117647
CHEMBL1738402,0.5423658352229781
CHEMBL1613775,0.6000000000000001
CHEMBL1738317,0.5256169604124445
CHEMBL1738442,0.5192666530787139
CHEMBL1738610,0.5353327228327228
CHEMBL1738312,0.4790900169676307
CHEMBL1613800,0.4566446877512315
CHEMBL1794311,0.6242906240738956
CHEMBL1614250,0.3328042328042328
CHEMBL1794367,0.6190476190476191
CHEMBL1794345,0.5240755326965026
CHEMBL1794401,0.5511125310182959
CHEMBL1794483,0.5538120163772945
CHEMBL1794461,0.5805976430976431
CHEMBL1794424,0.5091521684528152
CHEMBL1794486,0.558974358974359
CHEMBL1794499,0.45886915372209486
CHEMBL1794553,0.48211483514673814
CHEMBL1794536,0.5237979207277453
CHEMBL1614257,0.33627450980392154
CHEMBL1794512,0.582010582010582
CHEMBL1794580,0.47449540063045026
CHEMBL1794584,0.5133652052466043
CHEMBL1794467,0.5123015873015873
CHEMBL1964081,0.5849927849927851
CHEMBL1964002,0.6658730158730158
CHEMBL2114843,0.6185799922521795
CHEMBL2114861,0.6581544880376807
CHEMBL2114713,0.526848730715868
CHEMBL2114738,0.436213954056696
CHEMBL1614530,0.5678164428164428
CHEMBL2114775,0.4347704644359435
CHEMBL2114744,0.14417989417989416
CHEMBL2114780,0.5390092116250712
CHEMBL2114784,0.5636053520029433
CHEMBL2114788,0.4774386277320797
CHEMBL2114796,0.6809964726631393
CHEMBL2114807,0.4812008262424467
CHEMBL2114810,0.5029652262350823
CHEMBL2114797,0.5
CHEMBL2114836,0.5051523639758934
CHEMBL1614342,0.6842592592592593
CHEMBL2114842,0.6624338624338624
CHEMBL2354221,0.8277220400025725
CHEMBL2354254,0.5274563676382277
CHEMBL2354287,0.45825320599938163
CHEMBL2354282,0.6291423001949318
CHEMBL3214953,0.6296296296296297
CHEMBL3215017,0.4211823751297435
CHEMBL3215046,0.7382511337868481
CHEMBL3215181,0.4443503837313491
CHEMBL3215169,0.42562535302186716
CHEMBL1614544,0.5081632653061224
CHEMBL1614087,0.6546709515724796
CHEMBL3215154,0.6875
CHEMBL3215278,0.44052833740333747
CHEMBL3215270,0.4625051686455195
CHEMBL1614211,0.5229148604393071
CHEMBL2114817,0.6172073540494593
CHEMBL3214913,0.5748138873138874
CHEMBL3214967,0.5307692307692308
CHEMBL3214906,0.30185185185185187
CHEMBL3214970,0.3335518648018648
CHEMBL3562077,0.5026772487223538
CHEMBL1614146,0.39698773448773444
CHEMBL1614079,0.6166666666666666
CHEMBL1040691,0.5637039903680771
CHEMBL1040692,0.4740679824561404
CHEMBL1614544,0.44088482074752094
CHEMBL1613842,0.6526714513556618
CHEMBL1614459,0.5301156638365941
CHEMBL1614087,0.6284569836293974
CHEMBL1614544,0.5444317315026698
CHEMBL1613914,0.34883040935672516
CHEMBL1613842,0.5950745848578666
CHEMBL1741321,0.47888853870301107
CHEMBL1741325,0.601586595089183
CHEMBL1741322,0.556436382527687
CHEMBL1741323,0.5957075580963217
CHEMBL1741324,0.5063206181559217
CHEMBL1794324,0.6150392817059483
CHEMBL1794349,0.4955306267806268
CHEMBL1963972,0.5288888888888889
CHEMBL3214992,0.24444444444444446
CHEMBL1613836,0.37307900432900437
CHEMBL3215227,0.4037878787878788
CHEMBL3561973,0.44973544973544977
CHEMBL3562135,0.4251119251119251
CHEMBL3562136,0.46747109817338445
