assay_id
1_1
10_19
10_20
105_369
105_361
105_377
104_297
104_295
104_326
104_319
104_334
105_385
105_391
106_392
11_21
11_22
110_396
112_406
114_408
115_409
116_413
116_414
116_420
116_425
133_474
134_476
134_477
135_479
145_497
153_510
160_519
167_539
167_538
168_541
17_28
170_551
174_555
175_559
175_561
178_591
181_599
181_600
185_667
197_648
200_658
21_32
23_34
26_37
27_40
29_43
3_3
37_69
37_70
37_74
37_77
40_95
40_96
42_103
42_104
44_106
49_149
50_154
53_178
54_179
54_182
6_7
7_10
70_211
76_230
78_237
80_239
81_241
82_243
83_244
83_245
84_246
85_248
86_249
86_250
88_252
89_255
9_14
9_17
9_18
90_256
