PUMA_ASSAY_ID,roc_auc,balanced_acc,precision,recall,auprc,f1_score,auprg
1_1,0.047619047619047616,0.25595238095238093,0.0,0.0,0.07045454545454546,0.0,-0.03295454545454546
10_19,0.30952380952380953,0.30952380952380953,0.0,0.0,0.11666666666666667,0.0,-0.026893939393939397
10_20,0.38221153846153844,0.5637019230769231,0.13125,0.75,0.14821428571428572,0.20168067226890757,-0.008082399626517273
100_277,0.7533333333333334,0.8141666666666666,0.5399999999999999,0.9333333333333332,0.611111111111111,0.6333333333333333,0.08014430014430016
100_278,0.775925925925926,0.6702380952380953,0.49333333333333335,0.6833333333333333,0.7463492063492063,0.5457142857142857,0.1966648629148629
104_291,0.8301282051282052,0.6766025641025641,0.47916666666666663,0.5833333333333333,0.78125,0.5226190476190476,0.17693452380952385
105_355,0.6817765567765568,0.46886446886446886,0.1125,0.375,0.5416666666666666,0.16666666666666666,0.014484126984126981
105_369,0.4625,0.590625,0.175,0.75,0.21666666666666667,0.2833333333333333,-0.006498015873015871
105_361,0.9761904761904763,0.8761904761904762,0.5888888888888889,1.0,0.9444444444444443,0.6606060606060606,0.06018518518518518
105_378,0.5922077922077922,0.5199675324675325,0.3005952380952381,0.475,0.49097222222222214,0.3666666666666667,0.012563131313131318
105_352,0.3311111111111111,0.4546153846153846,0.25,0.3333333333333333,0.34803391053391053,0.27575757575757576,0.011278860028860032
104_289,0.698397435897436,0.5370192307692307,0.3333333333333333,0.3958333333333333,0.6083333333333334,0.35416666666666663,0.10085152116402119
105_375,0.6369963369963371,0.5102564102564102,0.15,0.5,0.41500000000000004,0.21714285714285717,0.05293650793650795
104_325,0.6638888888888889,0.7111111111111111,0.3666666666666667,0.6666666666666666,0.6638888888888889,0.47222222222222215,0.07268518518518519
104_297,0.9166666666666667,0.875,0.5833333333333333,1.0,0.7916666666666666,0.7333333333333334,0.08333333333333333
104_299,0.96875,0.85,0.6875,0.75,0.875,0.7142857142857143,0.2013888888888889
104_300,0.30952380952380953,0.3035714285714286,0.125,0.25,0.5238095238095237,0.16666666666666666,-0.13022486772486772
104_326,0.14285714285714285,0.30952380952380953,0.0,0.0,0.2638888888888889,0.0,-0.10787037037037037
104_323,0.9412698412698413,0.818888888888889,0.75,0.7,0.8333333333333333,0.7047619047619047,0.2161111111111111
105_339,0.8718181818181818,0.6825757575757576,0.45,0.58,0.771904761904762,0.45999999999999996,0.17330952380952383
105_341,0.7779487179487179,0.5906410256410257,0.3833333333333333,0.4666666666666666,0.7066666666666667,0.4166666666666667,0.16486111111111115
105_360,0.5527777777777778,0.4962121212121212,0.2767857142857143,0.525,0.46260683760683763,0.3583333333333333,0.041372863247863254
105_362,0.631904761904762,0.6418315018315018,0.3055555555555555,0.7333333333333333,0.5285377585377585,0.42000000000000004,0.022423641173641175
105_374,0.6930555555555555,0.6333333333333333,0.4345238095238095,0.6666666666666666,0.6579708485958486,0.5205128205128204,0.07814217032967034
105_382,0.5819047619047619,0.614065934065934,0.36428571428571427,0.6476190476190475,0.5730266955266956,0.44190476190476186,0.018282055246340963
105_385,0.7248677248677248,0.7255291005291005,0.27777777777777773,0.6666666666666666,0.5555555555555556,0.38888888888888884,0.036111111111111115
105_391,0.7380952380952381,0.8267195767195767,0.31666666666666665,1.0,0.5111111111111111,0.4666666666666666,0.010185185185185186
106_392,0.7532051282051282,0.798397435897436,0.2922077922077922,1.0,0.5303030303030303,0.4259259259259259,0.06221033868092692
108_394,0.44821428571428573,0.48928571428571427,0.16666666666666666,0.375,0.3333333333333333,0.225,0.00921717171717171
109_395,0.23333333333333334,0.3875,0.1515151515151515,0.5,0.2405348124098124,0.23214285714285715,-0.07436117123617123
11_21,0.10714285714285715,0.19642857142857142,0.08333333333333333,0.25,0.2708333333333333,0.125,-0.12450396825396826
11_22,0.4087301587301588,0.6448412698412699,0.3333333333333333,0.8333333333333334,0.34259259259259256,0.47222222222222215,-0.04236111111111112
110_397,0.6087225274725274,0.6412469474969474,0.13218236012353662,0.6875,0.16074824457177397,0.21865079365079365,0.03092032151348866
110_398,0.6448848837780726,0.5305838124723574,0.12237966711650922,0.6833333333333333,0.2572823365135193,0.2044631093544137,0.07386505571606598
110_399,0.6742957208045324,0.6718156160974924,0.10642649404259312,0.8,0.19338461538461538,0.18514285714285714,0.06567487142487143
110_400,0.8015037593984963,0.7906954887218044,0.1074074074074074,1.0,0.4418300653594771,0.19093187514240148,0.05259976619374037
110_401,0.4942396313364056,0.4634383000512033,0.07265873015873016,0.43666666666666665,0.1694370047885902,0.11940924512737679,0.004058054335991233
111_402,0.7574074074074073,0.7117592592592592,0.2357692307692308,0.7166666666666667,0.6867592592592593,0.31939393939393945,-0.001614840687782934
112_406,0.875,0.8333333333333334,0.5111111111111111,1.0,0.75,0.611111111111111,0.004629629629629632
113_407,0.3625,0.39375,0.3125,0.3125,0.49613095238095234,0.3125,-0.08544146825396826
114_408,0.5625,0.6875,0.3214285714285714,1.0,0.375,0.4583333333333333,-0.03472222222222221
116_411,0.597494623655914,0.5179462365591398,0.13495798319327731,0.5599999999999999,0.3437587535014005,0.20845864661654137,0.06786736101386603
116_412,0.4136453823953824,0.4083062770562771,0.06808069381598794,0.5,0.11810036454773298,0.11746031746031745,-0.01913065864304254
116_413,0.3392857142857143,0.5892857142857143,0.15000000000000002,0.75,0.15555555555555556,0.23376623376623376,-0.04166666666666667
116_415,0.2909090909090909,0.34595959595959597,0.0,0.0,0.27554112554112553,0.0,-0.08124458874458874
116_416,0.21363636363636362,0.36818181818181817,0.16666666666666666,0.16666666666666666,0.32474747474747473,0.16666666666666666,-0.06958041958041958
116_420,0.8299019607843138,0.7355392156862747,0.14460784313725492,1.0,0.31666666666666665,0.24444444444444444,0.08690476190476192
116_421,0.2132275132275132,0.3043650793650794,0.047619047619047616,0.1111111111111111,0.10879629629629628,0.06666666666666667,-0.04060592185592186
116_424,0.8572530864197532,0.8148148148148149,0.2112794612794613,1.0,0.5222222222222223,0.3428571428571428,0.05345212158937649
116_425,0.3344298245614035,0.25274122807017546,0.0,0.0,0.10714285714285714,0.0,-0.019740118269530035
116_426,0.44040198535554576,0.42588382721509654,0.07619047619047618,0.35,0.13499785001719986,0.12486274509803921,-0.010274735483113298
116_427,0.6213537310292222,0.5663603395670587,0.1848068598068598,0.6166666666666666,0.3521144555927165,0.27217844075429215,0.08356498347732838
117_429,0.6903809523809524,0.6820238095238096,0.47186147186147187,0.6028571428571429,0.6519999999999999,0.5244444444444445,0.1992576103203759
117_430,0.4916666666666667,0.562875939849624,0.16666666666666666,0.41666666666666663,0.48750000000000004,0.2361111111111111,0.054748964803312615
118_432,0.687313258636788,0.6588935574229692,0.2571428571428571,0.625,0.4335550887021475,0.35416666666666663,0.08647572811175752
118_434,0.4404761904761904,0.4714285714285714,0.37,0.6,0.5483333333333333,0.4566666666666667,-0.05432539682539681
12_23,0.6015079365079365,0.6361111111111111,0.5333333333333333,0.4766666666666667,0.6137772974574445,0.48663101604278075,0.11072850678733034
13_24,0.6363888888888889,0.6294444444444445,0.55,0.44333333333333336,0.6212051820728292,0.4621212121212121,0.11830653639660996
134_477,0.08333333333333331,0.375,0.0,0.0,0.14545454545454545,0.0,-0.06573426573426575
14_25,0.7650793650793651,0.6937606837606837,0.5166666666666666,0.5866666666666667,0.7748571428571428,0.5333333333333333,0.1637808302808303
143_495,0.7544444444444445,0.6403174603174604,0.24797979797979797,0.76,0.6202539682539683,0.3657142857142857,0.17870111553393292
145_497,0.6527777777777778,0.7361111111111112,0.39285714285714285,1.0,0.5089285714285714,0.5555555555555556,0.017721861471861465
15_26,0.9133986928104575,0.7295751633986929,0.433048433048433,0.8888888888888888,0.611111111111111,0.43549783549783544,0.2414021164021164
153_510,0.9,0.8,0.20833333333333331,1.0,0.6666666666666666,0.34285714285714286,0.03787878787878787
154_511,0.9629629629629629,0.8703703703703702,0.5333333333333333,1.0,0.861111111111111,0.6349206349206349,0.2146464646464646
16_27,0.5803613053613054,0.7261363636363636,0.6041666666666666,0.575,0.6247257236227824,0.5793650793650793,0.18964460784313725
167_539,0.665530303030303,0.6181818181818182,0.15277777777777776,0.6666666666666666,0.3531746031746031,0.24074074074074073,0.0685064935064935
167_538,0.665530303030303,0.6181818181818182,0.15277777777777776,0.6666666666666666,0.3531746031746031,0.24074074074074073,0.0685064935064935
168_541,0.19444444444444442,0.1875,0.0,0.0,0.09337121212121212,0.0,-0.033442599067599076
168_542,0.45770375457875456,0.453525641025641,0.08680555555555555,0.41666666666666663,0.28251089188589185,0.1388888888888889,0.02575813258379048
168_543,0.6774839743589745,0.7475961538461537,0.3,0.8333333333333334,0.3189484126984127,0.4375,0.04729371505687295
169_544,0.8149358974358976,0.796207264957265,0.35,0.9,0.6211111111111112,0.48380952380952386,0.08164141414141413
169_545,0.7445845004668534,0.6889822595704949,0.13,0.8,0.4269047619047619,0.22222222222222224,0.05658369408369408
169_548,0.7571428571428571,0.6595238095238095,0.17037037037037037,0.8333333333333334,0.5077838827838828,0.2828282828282828,0.034104784104784104
169_549,0.7835753968253969,0.6480357142857143,0.6,0.5700000000000001,0.7366103649436984,0.57093837535014,0.27895293450195413
170_550,0.4636904761904762,0.5764880952380953,0.1294642857142857,0.625,0.18328373015873015,0.21250000000000002,-0.019351339020456673
170_551,0.0,0.1919642857142857,0.0,0.0,0.06274509803921569,0.0,-0.03137254901960784
174_555,0.7111111111111111,0.6555555555555556,0.1037037037037037,0.6666666666666666,0.28888888888888886,0.17777777777777778,0.0782010582010582
177_585,0.3923782867502569,0.41836113230790717,0.009781648365518113,0.21875,0.021512526853153732,0.01872471585436332,0.004746105114308006
178_591,0.0,0.3666666666666667,0.0,0.0,0.08125,0.0,-0.040625
178_684,0.7195173699284008,0.6697994413238547,0.15043687764961056,0.6191068580542265,0.3366534541915899,0.24078274268104777,0.2252601129034842
179_659,0.6369447409344847,0.6057955639762196,0.011566633366633366,0.5,0.1154789440571196,0.022577457008693742,0.022896551562010165
18_29,0.8004960317460318,0.7160714285714286,0.35119047619047616,0.7,0.7586156898656897,0.45833333333333326,0.12458199786324786
180_686,0.6328485659760619,0.604198144104114,0.12803274567926917,0.596958596958597,0.2070197740577555,0.2070552151666703,0.0672132600640302
181_599,0.41111111111111115,0.5111111111111111,0.125,0.6666666666666666,0.2222222222222222,0.2074074074074074,-0.03675213675213675
183_604,0.7341801530662551,0.6574679759341849,0.0979109025032938,0.6620238095238096,0.2767687124824052,0.1662957157784744,0.13289709414358794
184_606,0.8639025244567694,0.8008356374583739,0.2716873476470507,0.7942979867532298,0.627801574957151,0.40251339997102703,0.48131766190845615
185_665,0.5591293338058734,0.561672126505753,0.03127906647132034,0.5261904761904762,0.04546507776081421,0.058129919727477275,0.006201389171107555
185_666,0.5848642849410732,0.5251514918492395,0.04425106600716357,0.46421568627450976,0.07847283130949795,0.08029315713526239,0.01725798287849811
186_668,0.5733699683152362,0.5769313822914798,0.046961257289515126,0.433968253968254,0.3358156812894993,0.08443936177563034,0.20591834544721563
186_669,0.6981923977881049,0.5820412615252368,0.028174603174603175,0.4166666666666667,0.12851748605425076,0.05231057940417546,0.06082371776455329
187_618,0.7703372299184963,0.6957542181392026,0.03807504737054639,0.7000000000000001,0.2011216096756351,0.07110476449521737,0.041998697671983276
187_619,0.6497564935064936,0.600439308498519,0.0992063492063492,0.5,0.43106060606060603,0.1611111111111111,0.19906633221850611
19_30,0.6354166666666666,0.7916666666666666,0.625,0.6666666666666666,0.6317307692307692,0.6166666666666667,0.21434294871794873
190_628,0.43535787682790694,0.45653408758632563,0.0252808400343403,0.2915873015873016,0.07425309863400756,0.046140380464394115,0.019153665323843713
190_629,0.5153385781667084,0.4672580832815485,0.017723795772772437,0.3342857142857143,0.040672643924595756,0.03362711948684799,0.011692057644635507
