assay_id
105_377
104_295
104_319
104_334
110_396
115_409
116_414
133_474
134_476
135_479
160_519
17_28
175_559
175_561
181_600
185_667
200_658
21_32
26_37
27_40
29_43
37_77
42_103
42_104
44_106
49_149
50_154
54_179
54_182
6_7
7_10
76_230
78_237
81_241
83_244
84_246
86_250
88_252
9_14
9_17
