PUMA_ASSAY_ID,roc_auc,balanced_acc,precision,recall,auprc,f1_score,auprg
1_1,0.7595238095238095,0.780952380952381,0.14545454545454545,1.0,0.3055555555555556,0.25,0.08459595959595959
10_19,0.7142857142857143,0.7619047619047619,0.15555555555555556,1.0,0.23809523809523808,0.26666666666666666,0.03382034632034631
10_20,0.5096153846153846,0.5564903846153846,0.10714285714285714,0.75,0.35096153846153844,0.17777777777777776,0.005592814048696403
100_277,0.7766666666666666,0.7830555555555556,0.42333333333333334,0.9333333333333332,0.6277777777777777,0.5466666666666666,0.0795887445887446
100_278,0.7333333333333334,0.7035714285714285,0.6933333333333332,0.75,0.7316666666666667,0.6457142857142857,0.1980735930735931
104_291,0.8173076923076923,0.6201923076923077,0.3501984126984127,0.7916666666666666,0.8,0.4833333333333333,0.20246663059163061
105_355,0.8200549450549451,0.7760989010989011,0.3214285714285714,1.0,0.625,0.4777777777777778,0.06448412698412699
105_369,0.5479166666666667,0.5687500000000001,0.1259920634920635,0.75,0.225,0.21250000000000002,-0.002331349206349198
105_361,0.8378510378510379,0.7792429792429793,0.29894179894179895,1.0,0.48333333333333334,0.43703703703703706,0.10443121693121694
105_378,0.689935064935065,0.5538961038961039,0.30753968253968256,0.7,0.6188888888888888,0.4206349206349206,0.07488455988455989
105_352,0.6811111111111111,0.5656410256410256,0.3246031746031746,0.6333333333333333,0.6651994301994302,0.42666666666666664,0.06415635290635292
104_289,0.7423076923076923,0.6160256410256411,0.3234126984126984,0.7916666666666666,0.675,0.4484848484848485,0.17468885281385282
105_375,0.686996336996337,0.6542124542124542,0.2515873015873016,0.8,0.4133333333333333,0.3749494949494949,0.0671825396825397
104_325,0.9583333333333334,0.6569444444444444,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.4444444444444444,0.1851851851851852
104_297,0.9583333333333334,0.75,0.41666666666666663,1.0,0.9166666666666666,0.5833333333333333,0.08333333333333333
104_299,0.9375,0.721875,0.5,0.75,0.8333333333333333,0.5833333333333333,0.18055555555555558
104_300,0.6071428571428572,0.6369047619047619,0.44047619047619047,1.0,0.6329365079365079,0.6083333333333333,-0.011309523809523811
104_326,0.6428571428571429,0.7738095238095237,0.4642857142857143,1.0,0.5436507936507936,0.6333333333333333,0.007936507936507936
104_323,0.9857142857142858,0.8566666666666667,0.75,0.9,0.9666666666666666,0.7466666666666666,0.20277777777777778
105_339,0.7827272727272728,0.6562121212121212,0.4031746031746032,0.76,0.7376263736263736,0.5064069264069264,0.13208699633699633
105_341,0.7996153846153847,0.663974358974359,0.4309523809523809,0.7833333333333333,0.72,0.5520479520479521,0.1787626262626263
105_360,0.6904040404040405,0.6348484848484849,0.34325396825396826,0.825,0.5603418803418803,0.47619047619047616,0.07367292429792431
105_362,0.7295238095238096,0.6775457875457875,0.346031746031746,0.8333333333333333,0.620940170940171,0.47555555555555556,0.06216561216561216
105_374,0.7847222222222222,0.6583333333333333,0.43353174603174605,0.8333333333333334,0.7400132275132274,0.5666666666666667,0.12401996151996153
105_382,0.7111111111111111,0.6326251526251526,0.39682539682539686,0.7428571428571429,0.6956000348857492,0.5116666666666666,0.05576177790463506
105_385,0.7890211640211641,0.6124338624338624,0.12222222222222223,0.6666666666666666,0.38888888888888884,0.20634920634920637,0.0824074074074074
105_391,0.8630952380952381,0.7976190476190476,0.45555555555555555,1.0,0.611111111111111,0.5396825396825397,0.06018518518518518
106_392,0.8355769230769231,0.5668269230769231,0.08928571428571429,0.5,0.5416666666666666,0.14814814814814814,0.10201914098972924
108_394,0.5910714285714286,0.5973214285714286,0.19583333333333333,0.625,0.5148809523809523,0.29642857142857143,-0.018064574314574318
109_395,0.7297619047619046,0.6330357142857144,0.2765151515151515,0.75,0.47777777777777775,0.3988095238095238,0.06515151515151515
11_21,0.17857142857142858,0.4464285714285714,0.08333333333333333,0.25,0.3055555555555556,0.125,-0.109375
11_22,0.3968253968253968,0.6031746031746031,0.27777777777777773,0.8333333333333334,0.3148148148148148,0.4166666666666667,-0.056250000000000015
