,Task,Fold,AUC
133,202_661,2.0,0.8803053830227744
134,203_662,2.0,0.3825214899713467
135,204_663,2.0,0.5127055458956127
136,205_664,2.0,0.5887158389656186
137,206_670,2.0,0.4928977272727273
138,206_671,2.0,0.5125115848007415
139,207_672,2.0,0.6203781512605041
140,208_673,2.0,0.7297585227272727
141,209_676,2.0,0.6176470588235294
142,210_677,2.0,0.5229096989966555
143,212_680,2.0,0.2733333333333334
144,213_681,2.0,0.5178351783517835
145,214_683,2.0,0.5259502923976608
146,215_685,2.0,0.8397476340694007
147,216_687,2.0,0.4507732026143791
148,217_688,2.0,0.6462250712250712
149,217_689,2.0,0.7456876456876457
150,219_691,2.0,0.4688697318007663
151,21_32,2.0,0.6666666666666667
152,220_692,2.0,0.670518134715026
153,221_693,2.0,0.6932567457902211
154,223_695,2.0,0.48743016759776536
155,224_696,2.0,0.5169054801407742
156,225_697,2.0,0.7005813953488372
157,227_699,2.0,0.5168674698795181
158,228_700,2.0,0.6044871794871794
159,229_701,2.0,0.5934405101071768
160,230_702,2.0,0.4959893048128342
161,231_703,2.0,0.6058972733037413
162,232_704,2.0,0.6670307750759878
163,232_705,2.0,0.6367568766637091
164,233_706,2.0,0.5712442559208201
165,234_707,2.0,0.615976598274943
166,235_708,2.0,0.6873415783474814
167,236_709,2.0,0.6894673123486683
168,237_710,2.0,0.5956531845653183
169,237_711,2.0,0.2986111111111111
170,238_712,2.0,0.6183842869464187
171,239_713,2.0,0.5173497021122946
172,23_34,2.0,0.45833333333333337
173,240_714,2.0,0.6484593399257312
174,241_715,2.0,0.6157079032079033
175,242_716,2.0,0.5221879034731683
176,243_717,2.0,0.5869314521993891
177,244_718,2.0,0.5242701615699328
178,245_719,2.0,0.5106773823191734
179,246_720,2.0,0.6284968817614865
180,247_721,2.0,0.5011614401858304
181,248_722,2.0,0.5280023235408813
182,249_724,2.0,0.4897405236318893
183,24_35,2.0,0.2
184,250_725,2.0,0.7811019308220801
185,250_726,2.0,0.7722023098367183
186,251_727,2.0,0.6586897893694739
187,253_729,2.0,0.5675191815856777
188,254_730,2.0,0.9482071713147411
189,257_735,2.0,0.5162842874719549
190,258_736,2.0,0.4157706093189964
191,259_737,2.0,0.6138334480385409
192,25_36,2.0,0.5909090909090909
193,260_738,2.0,0.5757920680313063
194,261_739,2.0,0.6417430273897151
195,262_740,2.0,0.593733949666153
196,263_741,2.0,0.5300418303967549
197,264_742,2.0,0.5616334614936502
198,265_743,2.0,0.5924245725945443
199,266_744,2.0,0.6554265343562374
200,267_745,2.0,0.6494944404195673
201,268_746,2.0,0.572430483528424
202,269_747,2.0,0.6115073009891663
203,26_37,2.0,0.5
204,270_748,2.0,0.5078756313131313
205,271_749,2.0,0.5653554346033316
206,272_750,2.0,0.4619680268632747
207,273_751,2.0,0.40249999999999997
208,274_752,2.0,0.6713365999080285
209,275_753,2.0,0.9123630672926448
210,275_754,2.0,0.501733746130031
211,276_755,2.0,0.509862310935519
212,277_756,2.0,0.5786987202487741
213,278_757,2.0,0.4925177125506073
214,279_758,2.0,0.4805505499285404
215,27_38,2.0,0.4954545454545455
216,27_39,2.0,0.6410256410256411
217,27_40,2.0,0.19999999999999996
218,280_759,2.0,0.679656274980016
219,281_760,2.0,0.44913151364764264
220,283_762,2.0,0.5042553191489362
221,29_43,2.0,1.0
222,37_69,2.0,0.22916666666666669
223,37_70,2.0,0.34375
224,37_74,2.0,0.7142857142857143
225,37_77,2.0,0.875
226,3_3,2.0,0.8
227,40_95,2.0,0.8888888888888888
228,40_96,2.0,0.9375
229,42_103,2.0,0.0
230,42_104,2.0,0.5
231,44_106,2.0,0.09999999999999998
232,46_120,2.0,1.0
233,49_149,2.0,0.6666666666666667
234,50_154,2.0,
235,53_178,2.0,0.55
236,54_179,2.0,0.7777777777777778
237,54_182,2.0,0.33333333333333337
238,5_5,2.0,0.8284313725490196
239,6_7,2.0,0.0
240,70_211,2.0,0.16666666666666663
241,71_212,2.0,0.5
242,71_213,2.0,0.09999999999999998
243,76_230,2.0,0.23076923076923073
244,78_237,2.0,1.0
245,7_10,2.0,0.11111111111111116
246,7_11,2.0,0.5625
247,80_239,2.0,0.4318181818181818
248,81_241,2.0,0.38888888888888884
249,82_242,2.0,0.6097781217750258
250,82_243,2.0,0.7857142857142857
251,83_244,2.0,0.9545454545454546
252,83_245,2.0,0.25
253,84_246,2.0,0.5
254,85_247,2.0,0.8125
255,85_248,2.0,0.75
256,86_249,2.0,0.25
257,86_250,2.0,0.5555555555555556
258,88_252,2.0,0.6
259,88_254,2.0,0.6138888888888888
260,89_255,2.0,0.4666666666666667
261,8_12,2.0,0.8333333333333333
262,8_13,2.0,0.6666666666666667
263,90_256,2.0,0.6756756756756757
264,91_257,2.0,0.8333333333333333
265,92_258,2.0,0.6666666666666666
266,93_259,2.0,0.5101010101010102
267,9_14,2.0,0.5
268,9_17,2.0,1.0
269,9_18,2.0,0.3
