Task,AUC_CC_r
737826,0.5876869377678141
737824_1,0.562859625637051
1495405,0.3256189934433101
737825,0.4621979063455822
752594,0.2548778488276766
600886,0.5029721079103795
752347,0.3972207303974221
809095,0.3950892857142857
845173,0.154769485481406
845196,0.7628695922813571
752496,0.45356926799758013
752509,0.3687020810514786
954338,0.5157524872348266
737400,0.4347260748959778
737053,0.4942016057091882
736947,0.4166002969430597
845206,0.4912563667232598
688267,0.5832555970149254
