Task,AUC
737826,0.412313062232186
737824_1,0.43714037436294884
1495405,0.6743810065566899
737825,0.5378020936544179
752594,0.7451221511723234
600886,0.4970278920896205
752347,0.6027792696025778
809095,0.6049107142857143
845173,0.845230514518594
845196,0.23713040771864302
752496,0.5464307320024198
752509,0.6312979189485213
954338,0.4842475127651734
737400,0.5652739251040221
737053,0.5057983942908117
736947,0.5833997030569403
845206,0.5087436332767402
688267,0.4167444029850746
