Task,AUC_C
688267,0.6009794776119403
600886,0.5250342935528122
737826,0.5355891200090809
737824_1,0.5573639587590127
737825,0.5709372621663148
1495405,0.7520433519954491
737053,0.4281891168599465
737400,0.5740291262135923
736947,0.646930277376282
752347,0.6186000716075903
752496,0.6002722323049001
752509,0.7007119386637458
752594,0.754235667049243
809095,0.6402815934065935
845173,0.8166390728476821
845196,0.2351696234049175
954338,0.503329473074696
845206,0.498641765704584
