assay,best_C,val_auc,test_auc,split,N_labels_test
25,1e-06,1.0,0.7619047619047619,split2,24
26,0.1,0.8571428571428572,0.0,split2,18
27,1e-06,0.7727272727272727,0.6944444444444445,split2,41
28,1e-06,0.8823529411764706,0.825,split2,22
29,1e-06,1.0,0.6363636363636364,split2,24
30,1e-06,0.6,0.03125,split2,18
31,10.0,0.6594827586206897,0.6046511627906976,split2,149
32,1.0,0.7336561743341404,0.7676555023923445,split2,150
33,0.01,0.8213141025641024,0.6260850694444444,split2,136
34,0.01,0.7719442165709598,0.7441458431557441,split2,164
35,0.01,0.7524038461538461,0.7465135356849877,split2,145
36,1.0,0.75,0.808695652173913,split2,28
37,1e-06,0.875,0.6666666666666666,split2,28
38,1e-06,0.5,0.75,split2,17
40,10.0,0.4375,0.35,split2,9
41,1e-06,0.6666666666666667,0.8416666666666668,split2,34
42,0.1,0.8333333333333334,0.8894230769230769,split2,34
43,1e-06,0.8985507246376812,0.7624584717607973,split2,71
44,0.01,0.8944099378881988,0.8034782608695652,split2,73
45,1e-06,1.0,0.19444444444444448,split2,13
46,1e-06,0.5,0.6428571428571428,split2,11
47,1.0,0.7,0.6555555555555556,split2,29
49,1e-06,0.8333333333333334,0.6538461538461537,split2,19
50,1e-06,0.16666666666666663,0.4888888888888889,split2,18
51,0.1,0.75,0.6818181818181818,split2,15
52,1e-06,0.8095238095238094,1.0,split2,22
53,1.0,0.875,0.962962962962963,split2,30
54,0.1,0.8541666666666666,0.9500000000000001,split2,29
55,0.01,0.8333333333333333,0.9444444444444444,split2,27
56,1.0,0.888888888888889,0.9583333333333334,split2,27
57,0.1,0.8333333333333333,0.9583333333333334,split2,27
58,1e-06,0.7857142857142857,0.9696969696969697,split2,25
59,0.1,0.8666666666666667,0.95,split2,22
60,1e-06,0.7916666666666666,0.9333333333333333,split2,28
61,0.01,0.8333333333333333,0.9739130434782609,split2,28
62,1e-06,0.7916666666666666,0.9444444444444444,split2,27
63,0.01,0.8333333333333333,0.8916666666666666,split2,29
64,0.1,0.8095238095238094,0.9583333333333334,split2,26
65,1e-06,0.8222222222222222,0.9466666666666667,split2,28
66,1e-06,0.8125,0.92,split2,29
67,1e-06,0.8222222222222222,0.9506172839506173,split2,30
68,1e-06,0.8444444444444446,1.0,split2,21
69,1e-06,0.8125,0.92,split2,29
70,10000.0,0.875,0.9500000000000001,split2,29
71,0.1,0.8666666666666667,0.94,split2,29
72,0.1,0.75,0.8333333333333334,split2,16
73,1.0,0.888888888888889,0.9473684210526316,split2,21
74,1e-06,0.8333333333333333,0.9130434782608695,split2,26
75,1e-06,0.9444444444444444,0.8518518518518519,split2,28
76,0.1,0.8333333333333333,0.94,split2,29
77,1e-06,0.7708333333333333,0.9285714285714286,split2,25
78,0.1,0.8333333333333333,0.9423076923076923,split2,30
79,0.01,0.8222222222222222,0.96,split2,28
80,1e-06,0.75,0.8333333333333334,split2,15
81,0.1,0.8666666666666667,0.9583333333333334,split2,27
82,0.1,0.8222222222222222,1.0,split2,28
83,0.1,0.7941176470588235,0.9807692307692308,split2,28
84,0.1,0.8333333333333333,0.982608695652174,split2,28
85,1e-06,0.7948717948717948,0.8823529411764706,split2,18
86,1e-06,0.7777777777777778,0.9733333333333334,split2,28
87,1e-06,0.8333333333333333,0.9326923076923077,split2,30
88,1e-06,0.8205128205128205,0.9393939393939393,split2,25
89,1e-06,0.8222222222222222,0.8205128205128205,split2,29
90,1e-06,0.8125,0.923076923076923,split2,30
91,0.1,0.8333333333333333,0.9375,split2,28
92,0.1,0.8666666666666667,0.9615384615384616,split2,29
93,1e-06,0.8095238095238094,0.9259259259259258,split2,29
94,1e-06,0.8,0.8999999999999999,split2,23
95,0.1,0.8444444444444446,0.9122807017543859,split2,22
96,1e-06,0.5,0.8181818181818181,split2,15
97,1e-06,0.5,0.8333333333333334,split2,9
98,1e-06,0.7777777777777778,0.9487179487179488,split2,29
100,0.1,0.8333333333333333,0.94,split2,29
101,0.1,0.7948717948717948,0.9423076923076923,split2,30
102,1.0,0.875,0.9791666666666666,split2,28
103,0.1,0.8444444444444446,0.9722222222222222,split2,22
104,0.01,0.8333333333333333,0.9326923076923077,split2,30
105,0.001,0.8333333333333333,0.9487179487179488,split2,29
106,1e-06,0.8222222222222222,0.9444444444444444,split2,19
107,0.1,0.8541666666666666,0.9375,split2,28
108,0.01,0.8541666666666666,0.962962962962963,split2,30
109,1e-06,0.7678571428571428,0.93,split2,29
110,1e-06,1.0,0.8333333333333334,split2,16
111,1e-06,0.8541666666666666,0.9545454545454546,split2,25
112,1e-06,0.8333333333333333,0.9270833333333334,split2,28
113,0.1,0.8541666666666666,0.9230769230769231,split2,28
114,0.01,0.8055555555555555,0.9444444444444444,split2,27
115,0.1,0.8333333333333333,0.9791666666666666,split2,28
117,1e-06,0.5,0.13636363636363635,split2,13
119,1e-06,0.6000000000000001,0.4285714285714286,split2,15
121,1e-06,1.0,0.6666666666666667,split2,7
122,0.1,1.0,0.19999999999999996,split2,7
123,1.0,1.0,0.0,split2,6
124,0.01,0.4,0.3571428571428571,split2,15
125,1e-06,1.0,1.0,split2,7
126,1.0,1.0,0.7,split2,7
127,0.1,0.75,0.65,split2,16
128,1e-06,0.5,0.5,split2,5
129,1.0,0.19999999999999996,0.25,split2,12
130,1e-06,0.6666666666666667,0.4571428571428572,split2,12
131,1e-06,1.0,1.0,split2,9
133,1e-06,1.0,1.0,split2,3
134,1e-06,1.0,0.8333333333333334,split2,9
135,1.0,0.75,0.9166666666666667,split2,7
136,1e-06,1.0,0.7777777777777779,split2,6
137,1e-06,1.0,1.0,split2,6
138,1e-06,0.6666666666666666,1.0,split2,9
139,1e-06,1.0,1.0,split2,6
140,1e-06,0.888888888888889,0.625,split2,6
141,1e-06,0.6666666666666666,0.5,split2,6
142,1e-06,1.0,0.9074074074074074,split2,15
143,1e-06,1.0,1.0,split2,6
144,1e-06,0.75,0.4444444444444445,split2,6
145,1e-06,1.0,0.8333333333333334,split2,9
146,1e-06,0.75,0.888888888888889,split2,9
147,1.0,0.8109559613319012,0.7435152922957801,split2,165
148,1e-06,0.8888888888888888,0.8500000000000001,split2,12
150,1.0,0.8055555555555556,0.6092436974789917,split2,31
151,1.0,0.8846153846153846,1.0,split2,13
152,1e-06,0.9166666666666667,0.75,split2,13
153,10.0,0.888888888888889,0.5333333333333332,split2,8
154,0.1,0.8458333333333333,0.9202279202279202,split2,67
155,1e-05,0.5900900900900902,0.5383485160152807,split2,329
156,1.0,0.5555555555555556,0.7000000000000001,split2,24
157,0.1,0.6654135338345865,0.6436570026077619,split2,176
158,0.01,0.8740740740740741,0.6065759637188209,split2,77
159,0.01,0.6123188405797101,0.5790849673202614,split2,62
160,1e-06,0.6666666666666666,1.0,split2,12
161,0.1,0.6318095238095238,0.6690656050088473,split2,530
162,1.0,0.6460674157303371,0.6084254143646408,split2,378
163,1.0,0.6858721389108129,0.6226886556721639,split2,374
164,1e-06,0.3879310344827586,0.36752136752136744,split2,42
165,1.0,0.7067099567099567,0.5844935844935846,split2,144
166,100.0,0.8333333333333335,0.4083333333333333,split2,22
167,0.01,0.8484848484848484,0.9017857142857142,split2,22
168,10.0,0.6247739602169983,0.6900576764625103,split2,353
169,1e-06,0.9090909090909092,0.9021739130434783,split2,27
170,1e-06,0.6666666666666666,0.8285714285714286,split2,12
171,0.1,0.7748623722027597,0.8408311688311689,split2,505
172,1e-06,0.8701923076923077,0.8495934959349594,split2,71
173,0.1,0.5714285714285714,0.8888888888888888,split2,13
174,10.0,0.9600000000000001,0.8046875,split2,24
175,1e-06,1.0,0.6285714285714286,split2,12
176,1.0,0.7420289855072465,0.8328736900165471,split2,135
177,0.1,1.0,0.8712121212121212,split2,68
178,0.01,0.6768707482993197,0.6421505376344085,split2,118
179,1e-06,0.4786324786324786,0.4385964912280702,split2,63
180,10.0,0.7974481658692185,0.9131637168141593,split2,129
181,10.0,0.3333333333333333,0.25,split2,6
182,0.0001,0.8199013157894737,0.8738257505986369,split2,150
183,10.0,0.963768115942029,0.9188337273443656,split2,74
184,0.1,0.7444444444444445,0.7071146245059289,split2,159
185,1e-06,0.8571428571428571,0.6923076923076923,split2,15
186,100.0,0.8960573476702509,0.9023076923076923,split2,76
187,1e-06,0.41617647058823526,0.8225806451612904,split2,343
189,1.0,0.65,0.65,split2,41
191,1e-06,0.9788135593220338,0.884703196347032,split2,440
192,1.0,0.7253886010362693,0.575,split2,362
193,100.0,0.8258064516129032,0.6219426974143956,split2,80
194,1.0,0.6349206349206349,0.5988372093023255,split2,47
196,1e-06,0.2857142857142857,0.7731092436974789,split2,24
197,1e-06,0.4,0.6666666666666666,split2,17
198,1e-06,0.780952380952381,0.552439024390244,split2,209
199,1e-06,0.95,0.9161290322580645,split2,41
200,1e-06,0.75,0.8333333333333334,split2,10
201,0.1,0.42857142857142855,0.6965174129353233,split2,76
202,0.1,0.6666666666666666,0.849624060150376,split2,26
203,1.0,0.6192592592592593,0.6057055527254203,split2,164
204,0.1,0.640625,0.6263157894736842,split2,29
205,10.0,0.7083333333333335,0.8815513626834381,split2,71
206,1e-06,1.0,0.7878787878787878,split2,14
207,1e-06,1.0,0.41666666666666663,split2,7
208,1e-06,1.0,0.4873949579831932,split2,24
209,100.0,0.8314206569054214,0.8826945412311266,split2,293
1,1e-06,0.30303030303030304,0.5357142857142858,split3,20
2,0.1,0.5555555555555556,0.6909090909090909,split3,16
3,10.0,0.4375,0.6666666666666667,split3,22
4,10.0,0.6285714285714286,0.5096153846153846,split3,21
5,0.01,0.75,0.5,split3,17
6,1e-06,0.25,0.41111111111111115,split3,23
7,1e-06,1.0,0.6,split3,7
8,1e-06,0.5,0.4,split3,7
9,1e-06,0.5333333333333333,0.8472222222222221,split3,27
10,1e-06,0.4285714285714286,0.6444444444444444,split3,18
11,1e-06,0.9473684210526316,0.8071428571428572,split3,39
12,1.0,0.5078125,0.5049342105263157,split3,51
13,1e-06,1.0,0.9444444444444444,split3,19
14,1e-06,0.6666666666666667,0.0,split3,6
15,1e-06,0.2857142857142857,0.6904761904761905,split3,17
16,1e-06,1.0,0.8333333333333333,split3,13
17,1e-06,0.5,0.625,split3,24
18,1e-06,0.37037037037037035,0.65625,split3,26
19,1e-06,0.8571428571428571,0.8392857142857143,split3,18
20,1e-06,0.6240601503759399,0.6782608695652175,split3,28
21,10.0,0.6285714285714286,0.5096153846153846,split3,21
22,0.01,0.888888888888889,0.6,split3,14
23,1e-06,0.6000000000000001,0.3725490196078431,split3,20
24,1e-06,0.59375,0.5681818181818181,split3,24
25,1e-06,0.5454545454545454,0.8928571428571429,split3,16
26,1e-06,0.75,0.6,split3,23
27,1.0,0.5157894736842106,0.512987012987013,split3,51
28,1.0,0.5362318840579711,0.7466666666666666,split3,28
29,1e-06,0.36363636363636365,0.9285714285714286,split3,16
30,1e-06,0.16666666666666663,0.2142857142857143,split3,23
31,0.0001,0.578125,0.7484199796126402,split3,154
32,1.0,0.7037037037037036,0.7648766328011611,split3,157
33,0.01,0.7918060200668896,0.6510923642656283,split3,136
34,0.01,0.7409387997623292,0.7482758620689656,split3,153
35,1e-06,0.7895847994370162,0.7808569182389937,split3,149
36,0.01,0.9166666666666667,0.5263157894736842,split3,20
37,1e-06,0.6818181818181819,0.7222222222222223,split3,21
38,10.0,0.6666666666666667,0.7142857142857143,split3,16
39,1e-06,1.0,1.0,split3,7
40,1e-06,0.25,0.7,split3,11
41,10.0,0.7,0.8260869565217391,split3,24
42,1e-06,0.8181818181818181,0.8250000000000001,split3,24
43,1e-06,0.8564814814814815,0.8841354723707665,split3,84
44,1e-06,0.8519736842105263,0.8483965014577259,split3,77
45,1e-06,0.3333333333333333,0.3555555555555556,split3,14
46,1e-06,0.8333333333333334,0.5833333333333333,split3,7
47,1e-06,0.16666666666666663,0.6666666666666666,split3,14
49,0.1,0.3571428571428571,0.8787878787878788,split3,17
50,1e-06,0.75,0.8666666666666667,split3,16
51,0.1,0.8571428571428572,0.6285714285714286,split3,12
52,1e-06,1.0,0.968421052631579,split3,24
53,1e-06,1.0,0.9425287356321839,split3,32
54,1.0,0.9764705882352941,0.9214285714285715,split3,33
55,0.1,0.9824561403508772,0.9111111111111112,split3,32
56,1e-06,1.0,0.9351851851851852,split3,31
57,0.01,1.0,0.9351851851851852,split3,31
58,1.0,1.0,0.7597402597402597,split3,29
59,1e-06,1.0,0.9444444444444444,split3,27
60,0.1,1.0,0.8142857142857143,split3,33
61,0.1,0.9705882352941176,0.9691358024691359,split3,33
62,1e-06,0.9473684210526316,0.92,split3,30
63,0.1,0.8645833333333333,0.9551282051282052,split3,32
64,0.1,1.0,0.9166666666666666,split3,28
65,1e-06,0.9444444444444444,0.9133333333333333,split3,31
66,0.1,0.9583333333333334,0.7846153846153846,split3,31
67,1e-06,1.0,0.9382716049382716,split3,30
68,1e-06,1.0,0.9166666666666666,split3,27
69,0.1,0.9444444444444444,0.939655172413793,split3,33
70,0.1,0.9583333333333334,0.939655172413793,split3,33
71,1.0,0.9722222222222222,0.9444444444444444,split3,33
72,1.0,0.9,1.0,split3,11
73,1e-06,1.0,0.927536231884058,split3,26
74,0.1,0.8833333333333334,0.9440000000000001,split3,30
75,1e-06,1.0,0.8981481481481481,split3,31
76,0.1,0.9583333333333334,0.9310344827586207,split3,33
77,0.1,0.9583333333333334,0.7916666666666666,split3,29
78,0.1,0.9722222222222222,0.9310344827586207,split3,32
79,1e-06,1.0,0.9333333333333333,split3,32
80,1e-06,1.0,1.0,split3,10
81,1e-06,1.0,0.8981481481481481,split3,31
82,1.0,1.0,0.9722222222222223,split3,31
83,1.0,0.9259259259259259,0.9807692307692308,split3,30
84,0.1,0.9558823529411764,0.9722222222222222,split3,30
85,1e-06,0.9285714285714286,0.9206349206349207,split3,24
86,1e-06,1.0,0.9761904761904762,split3,31
87,0.1,0.9444444444444444,0.9425287356321839,split3,32
88,0.01,1.0,0.9382716049382716,split3,30
89,1e-06,0.9249999999999999,0.8981481481481481,split3,31
90,1.0,0.9305555555555556,0.9224137931034482,split3,33
91,1.0,0.9764705882352941,0.9107142857142858,split3,32
92,1e-06,1.0,0.9444444444444444,split3,33
93,0.001,1.0,0.8928571428571428,split3,32
94,1e-06,0.9714285714285714,0.8030303030303031,split3,28
95,1e-06,0.9833333333333334,0.9305555555555555,split3,27
96,1.0,0.7,1.0,split3,11
97,1e-06,0.7333333333333333,1.0,split3,7
98,1e-06,1.0,0.8942307692307692,split3,30
99,1e-06,0.875,0.9021739130434783,split3,27
100,1.0,0.9558823529411764,0.9444444444444444,split3,33
101,1.0,0.9866666666666667,0.9259259259259259,split3,30
102,1.0,0.9722222222222222,0.9134615384615385,split3,30
103,1e-06,0.9833333333333334,0.9714285714285714,split3,26
104,0.1,0.9722222222222222,0.9333333333333333,split3,33
105,0.01,1.0,0.9074074074074074,split3,33
106,1e-06,0.9846153846153847,0.9305555555555555,split3,27
107,0.1,0.9852941176470588,0.9310344827586207,split3,32
108,1e-06,0.9473684210526316,0.9134615384615384,split3,30
109,1.0,0.868421052631579,0.8571428571428571,split3,32
110,1.0,0.9166666666666667,1.0,split3,10
111,1e-06,1.0,0.9444444444444444,split3,33
112,1.0,0.9722222222222222,0.9017857142857143,split3,32
113,0.01,0.975,0.9444444444444444,split3,33
114,0.1,1.0,0.9242424242424242,split3,25
115,1e-06,0.9294117647058823,0.9464285714285715,split3,32
117,1e-06,1.0,0.6153846153846153,split3,16
118,1e-06,1.0,0.5,split3,5
119,1e-06,0.08333333333333334,0.8444444444444446,split3,18
122,100.0,0.6666666666666666,0.5714285714285715,split3,10
123,1e-06,0.5,0.5,split3,6
125,1e-06,0.6666666666666667,0.5,split3,11
126,10.0,0.6666666666666667,0.24999999999999997,split3,11
127,1e-06,0.7999999999999999,0.16666666666666666,split3,13
129,1e-06,0.33333333333333337,0.2777777777777778,split3,11
131,1e-06,1.0,1.0,split3,4
132,1e-06,1.0,0.625,split3,6
133,1e-06,1.0,1.0,split3,6
134,1e-06,1.0,0.6666666666666666,split3,6
136,1e-06,1.0,0.8333333333333334,split3,9
137,1e-06,1.0,0.75,split3,9
